word,machine_translation,human_translation,label,emotion_intensity_score
scream,ihu,ihu,anger,0.719
spiteful,m,sharri,anger,0.719
bastarding,cin mutunci,cin mutunci,anger,0.719
scorching,zafi,zafi,anger,0.719
horseshit,doki,shirme,anger,0.719
treachery,ha'inci,ha'inci,anger,0.719
slay,kashe,kashe,anger,0.719
brutal,m,maras imani,anger,0.719
tumult,tashin hankali,tashin hankali,anger,0.719
madden,mahaukaci,mahaukaci,anger,0.719
aggravates,kara tsanantawa,ƙara tsanantawa,anger,0.719
vermin,kwari,kwari,anger,0.719
anarchism,anarchism,ra'ayin wargaza gwamnati,anger,0.714
mutilation,yankewa,yankewa,anger,0.714
mangle,mangle,lalatawa,anger,0.714
criminal,mai laifi,mai laifi,anger,0.714
punch,naushi,naushi,anger,0.713
denunciation,la'anta,la'anta,anger,0.713
holocaust,kisan kiyashi,kisan kiyashi,anger,0.712
blasphemous,sabo,saɓo,anger,0.712
battled,yaƙi,yaƙi,anger,0.712
dumbasses,dumbasses,mai raini,anger,0.712
fatal,m,na ajali,anger,0.712
virulence,virulence,zafin gaba,anger,0.712
dontlikeyou,kada ku so,kada ku so,anger,0.712
hurting,ciwo,ciwo,anger,0.712
crucifixion,giciye,giciye,anger,0.712
deranged,deranged,hauka,anger,0.706
evil,mugunta,mugunta,anger,0.706
irritated,haushi,haushi,anger,0.706
atrocious,m,mamugunci,anger,0.706
assassin,kisa,mai kisan kai,anger,0.703
intimidation,tsoratarwa,tsoratarwa,anger,0.703
persecution,fitina,fitina,anger,0.703
slayer,mai kisan kai,mai kisan kai,anger,0.703
kidnap,sacewa,sacewa,anger,0.703
dicks,dicks,masu ban haushi,anger,0.703
scolding,tsawatawa,tsawatawa,anger,0.703
aggravated,ya tsananta,ya tsananta,anger,0.703
aggression,zalunci,zalunci,anger,0.702
armed,dauke da makamai,ɗauke da makamai,anger,0.7
poison,guba,guba,anger,0.697
snarling,kumbura,kumbura,anger,0.697
venom,dafi,dafi,anger,0.697
battle,yaƙi,yaƙi,anger,0.697
disgruntled,rashin jin daɗi,rashin jin daɗi,anger,0.693
assailant,maharin,maharin,anger,0.691
insidious,m,illa mai cutarwa,anger,0.691
resentment,bacin rai,ɓacin rai,anger,0.691
contemptuous,raini,raini,anger,0.69
lynch,kwanciya,kisa ba doka,anger,0.69
lunatic,mahaukaci,mahaukaci,anger,0.688
mad,mahaukaci,mahaukaci,anger,0.688
peeved,tsotso,tsotso,anger,0.688
bully,zalunci,zalunci,anger,0.688
temper,fushi,fushi,anger,0.688
infanticide,kashe -kashe,kashe -kashe,anger,0.688
curse,la'ana,la'ana,anger,0.688
domination,mamayewa,mamayewa,anger,0.688
imprisonment,kurkuku,kurkuku,anger,0.688
terrible,m,mai tsanani,anger,0.688
disparage,rashin mutunci,rashin mutunci,anger,0.688
makesmemad,makememad,yana ba ni haushi,anger,0.688
volatility,rashin ƙarfi,rashin ƙarfi,anger,0.687
eradication,kawarwa,kawarwa,anger,0.685
scoundrel,dan iska,ɗan iska,anger,0.682
eradicate,kawar da,kawar da,anger,0.682
tantrum,tashin hankali,tashin hankali,anger,0.682
devastate,ɓarna,ɓarna,anger,0.682
agitation,tashin hankali,tashin hankali,anger,0.68
aggressively,da tashin hankali,da tashin hankali,anger,0.68
irritates,fusata,fusata,anger,0.676
dictatorship,mulkin kama -karya,mulkin kama -karya,anger,0.676
profanity,lalata,lalata,anger,0.673
dastardly,dastardly,mamugunci,anger,0.672
expletive,m,rantsuwa,anger,0.672
wreak,fashewa,fashewa,anger,0.672
contempt,raini,raini,anger,0.672
crime,aikata laifi,aikata laifi,anger,0.672
poisonous,mai guba,mai guba,anger,0.672
nasty,m,mai sa ƙyama,anger,0.672
aggravation,tsanantawa,tsanantawa,anger,0.672
condemnation,hukunci,hukunci,anger,0.672
egregious,m,mara kyau sosai,anger,0.672
shove,ture,ture,anger,0.672
shoot,harba,harba,anger,0.672
shot,harbi,harbi,anger,0.672
crushed,murkushe,murƙushe,anger,0.672
corrupting,m,mai lalatarwa,anger,0.672
harmful,mai cutarwa,mai cutarwa,anger,0.672
cruelly,zalunci,zalunci,anger,0.672
maniac,mahaukaci,mahaukaci,anger,0.67
irritable,m,fusata cikin sauƙi,anger,0.667
shooting,harbi,harbi,anger,0.667
odious,m,marar daɗi sosai,anger,0.667
shout,ihu,ihu,anger,0.667
eruption,fashewa,fashewa,anger,0.667
cutthroat,cuttroat,yanke wuya,anger,0.667
kick,shura,shura,anger,0.667
hateeveryone,kowa da kowa,kowa da kowa,anger,0.667
hit,buga,buga,anger,0.667
fight,fada,faɗa,anger,0.667
enemy,abokin gaba,abokin gaba,anger,0.667
combat,fama,fama,anger,0.667
aggressive,m,mai cin zali,anger,0.667
punished,azabtar,azabtar,anger,0.662
yell,ihu,ihu,anger,0.661
ambush,kwanton bauna,kwanton ɓauna,anger,0.661
harass,tursasawa,tursasawa,anger,0.659
gore,gore,zubar da jini,anger,0.656
expel,korar,korar,anger,0.656
malignant,m,mai mugunta,anger,0.656
destruction,halaka,halaka,anger,0.656
aggressor,mai zalunci,mai zalunci,anger,0.656
incense,turare,turare,anger,0.656
grudge,fushi,fushi,anger,0.656
antichrist,maƙiyin Kristi,maƙiyin Kristi,anger,0.656
cranky,m,mummunan hali,anger,0.653
reprisal,ramuwar gayya,ramuwar gayya,anger,0.652
slave,bawa,bawa,anger,0.652
growl,guguwa,guguwa,anger,0.652
offended,yi laifi,yi laifi,anger,0.652
clashing,karo,karo,anger,0.652
insulting,zagi,zagi,anger,0.652
insurrection,fitina,fitina,anger,0.652
spank,spank,mari,anger,0.652
animosity,ƙiyayya,ƙiyayya,anger,0.652
denounce,la'anta,la'anta,anger,0.652
growls,guguwa,guguwa,anger,0.649
executioner,mai aiwatarwa,mai aiwatarwa,anger,0.644
twat,twat,abun ƙyama,anger,0.644
doomsday,ranar alkiyama,ranar alƙiyama,anger,0.643
bombard,bam,bam,anger,0.641
feud,rigima,rigima,anger,0.641
accused,wanda ake zargi,wanda ake zargi,anger,0.641
arson,ƙonawa,ƙonawa,anger,0.641
daemon,aljannu,aljannu,anger,0.641
shackle,dauri,ɗauri,anger,0.641
indignant,m,ɓacin rai,anger,0.641
obscenity,batsa,batsa,anger,0.641
spat,tofa,tofa,anger,0.641
havoc,halaka,halaka,anger,0.641
grr,grr,ƙarar ɓacin rai,anger,0.641
inexcusable,uzuri,uzuri,anger,0.641
expulsion,fitarwa,fitarwa,anger,0.641
reprimand,tsawata,tsawata,anger,0.641
somad,somad,bauta,anger,0.637
poisoned,guba,guba,anger,0.636
kicking,harbawa,harbawa,anger,0.636
wound,rauni,rauni,anger,0.636
batter,batter,bugu,anger,0.636
frustrated,takaici,takaici,anger,0.636
hanging,rataye,rataye,anger,0.636
disgusting,abin ƙyama,abin ƙyama,anger,0.636
spanking,bugawa,bugawa,anger,0.636
suicidal,kashe kansa,kashe kansa,anger,0.636
anarchy,rashin zaman lafiya,rashin zaman lafiya,anger,0.636
glaring,haske,haske,anger,0.636
combatant,mayaƙi,mayaƙi,anger,0.636
wrecked,fashe,fashe,anger,0.633
inflict,cutarwa,cutarwa,anger,0.633
grievous,damuwa,damuwa,anger,0.632
cheat,yaudara,yaudara,anger,0.63
prosecute,gurfanar,gurfanar,anger,0.63
agitated,tashin hankali,tashin hankali,anger,0.63
swastika,swastika,alamar swastika,anger,0.627
enslaved,bautar,bautar,anger,0.625
scourge,bulala,bulala,anger,0.625
raid,kai hari,kai hari,anger,0.625
suffocation,shaƙewa,shaƙewa,anger,0.625
defamatory,cin mutunci,cin mutunci,anger,0.625
indict,tuhumar,tuhuma,anger,0.625
cursing,la'anta,la'anta,anger,0.625
provocation,tsokana,tsokana,anger,0.625
harassing,tursasawa,tursasawa,anger,0.625
injure,rauni,rauni,anger,0.625
betray,cin amana,cin amana,anger,0.625
thundering,tsawa,tsawa,anger,0.625
strife,fitina,fitina,anger,0.625
arsehole,rami,rami,anger,0.624
jerk,jajirce,jajirce,anger,0.621
retaliation,ramuwar gayya,ramuwar gayya,anger,0.621
fiend,fiend,mugun ruhu/aljani,anger,0.621
theft,sata,sata,anger,0.621
insane,mahaukaci,mahaukaci,anger,0.621
irritate,fusata,fusata,anger,0.621
deprivation,hanawa,hanawa,anger,0.621
convict,mai laifi,mai laifi,anger,0.621
cussed,cussed,maras kintsi,anger,0.619
turmoil,tashin hankali,tashin hankali,anger,0.618
smack,smack,bugu,anger,0.615
retribution,azaba,azaba,anger,0.614
adverse,m,illa,anger,0.609
battery,baturi,baturi,anger,0.609
twats,twats,wawa,anger,0.609
collision,karo,karo,anger,0.609
injurious,m,mai haddasa lahani,anger,0.609
rebellion,tawaye,tawaye,anger,0.609
slavery,bauta,bauta,anger,0.609
gang,ƙungiya,ƙungiya,anger,0.609
irritability,rashin tausayi,rashin tausayi,anger,0.609
bitterly,m,mai ɗaci,anger,0.609
oppressor,azzalumi,azzalumi,anger,0.609
antagonism,adawa,adawa,anger,0.609
intolerable,m,kasa juriya,anger,0.609
disgraced,wulakanci,wulaƙanci,anger,0.608
diatribe,diatribe,hari da magana,anger,0.606
sickening,rashin lafiya,rashin lafiya,anger,0.606
ranting,rantsuwa,rantsuwa,anger,0.606
asshole,mahaukaci,mahaukaci,anger,0.606
irks,irks,haushi,anger,0.606
irritating,m,mai ban haushi,anger,0.606
discrimination,nuna bambanci,nuna bambanci,anger,0.606
bombardment,tashin bam,tashin bam,anger,0.606
thug,ɗan daba,ɗan daba,anger,0.606
antagonistic,mai adawa,mai adawa,anger,0.606
revolution,juyin juya hali,juyin juya hali,anger,0.606
blast,fashewa,fashewa,anger,0.606
frustrate,takaici,takaici,anger,0.604
tension,tashin hankali,tashin hankali,anger,0.603
manipulation,magudi,maguɗi,anger,0.603
oppression,zalunci,zalunci,anger,0.603
hurtful,m,mai haifar da damuwa,anger,0.603
insult,zagi,zagi,anger,0.603
tiredofit,gajiya,gajiya,anger,0.603
bigot,girman kai,girman kai,anger,0.603
disgust,ƙyama,ƙyama,anger,0.602
spite,mugunta,mugunta,anger,0.6
intrusive,mai kutsawa,mai kutsawa,anger,0.598
harshness,tauri,tauri,anger,0.597
slur,slur,maganar wulaƙanci,anger,0.596
bitterness,daci,ɗaci,anger,0.594
tempest,guguwa,guguwa,anger,0.594
miserable,abin bakin ciki,abin baƙin ciki,anger,0.594
morbidity,cututtuka,cututtuka,anger,0.594
assail,kai hari,kai hari,anger,0.594
puncture,huda,huda,anger,0.594
invasion,mamayewa,mamayewa,anger,0.594
inferno,rashin zafi,rashin zafi,anger,0.594
casualty,wanda aka kashe,wanda aka kashe,anger,0.594
storming,hadari,mai kyau sosai,anger,0.594
wretch,mugu,mugu,anger,0.594
consternation,firgita,firgita,anger,0.592
guillotine,guillotine,injin sare kai,anger,0.591
forcibly,da karfi,da ƙarfi,anger,0.591
overpowering,rinjaye,rinjaye,anger,0.591
immoral,m,rashin ɗa'a,anger,0.591
guilty,mai laifi,mai laifi,anger,0.591
depraved,lalata,lalata,anger,0.591
raving,raving,yin sumbatu,anger,0.591
soannoyed,soannoyed,fusace sosai,anger,0.588
recalcitrant,m,mai taurin kai,anger,0.588
accursed,la'ananne,la'ananne,anger,0.588
screwed,dunƙule,dunƙule,anger,0.588
invader,mai mamayewa,mai mamayewa,anger,0.588
scare,tsorata,tsorata,anger,0.588
indignation,fushi,fushi,anger,0.587
jealousy,kishi,kishi,anger,0.587
vexed,damuwa,damuwa,anger,0.586
confront,yi karo,yi karo,anger,0.582
brute,zalunci,zalunci,anger,0.581
throttle,maƙura,maƙura,anger,0.579
provoking,tsokana,tsokana,anger,0.578
coup,juyin mulki,juyin mulki,anger,0.578
pillage,sacewa,sacewa,anger,0.578
damage,lalacewa,lalacewa,anger,0.578
shutup,rufewa,rufewa,anger,0.578
contentious,mai jayayya,mai jayayya,anger,0.578
shutit,rufe,rufe,anger,0.578
bickering,rigima,rigima,anger,0.578
incarceration,ɗaurin kurkuku,ɗaurin kurkuku,anger,0.578
butcher,mahauci,mahauci,anger,0.578
lash,lash,bulala,anger,0.578
conflict,rikici,rikici,anger,0.578
blaze,wuta,wuta,anger,0.578
slut,lalata,lalata,anger,0.578
defiant,m,nuna rashin amincewa,anger,0.578
wreck,rushewa,rushewa,anger,0.578
revolver,revolver,ƙaramar bindiga,anger,0.578
yousuck,yousuck,nuna hassada,anger,0.578
criminality,laifi,laifi,anger,0.578
cancer,ciwon daji,ciwon daji,anger,0.577
frustration,takaici,takaici,anger,0.576
standoff,tsayawar,tsayawar,anger,0.576
gory,gori,gori,anger,0.576
dontmess,kar ku damu,kar ku damu,anger,0.576
alienation,nisantawa,nisantawa,anger,0.576
gun,bindiga,bindiga,anger,0.576
pernicious,m,mai illa sannu-a-hankali,anger,0.576
grope,gira,gira,anger,0.576
discord,rashin jituwa,rashin jituwa,anger,0.576
condescension,ƙasƙantar da kai,ƙasƙantar da kai,anger,0.576
discriminate,nuna bambanci,nuna bambanci,anger,0.576
blasphemy,sabo,saɓo,anger,0.576
chaotic,m,mai sa ruɗani,anger,0.576
disturbance,tashin hankali,tashin hankali,anger,0.576
friggen,friggen,saye,anger,0.575
jab,jab,yi da sauri,anger,0.574
monstrosity,girman kai,girman kai,anger,0.574
lunacy,hauka,hauka,anger,0.574
oppressive,zalunci,zalunci,anger,0.574
scandalous,abin kunya,abin kunya,anger,0.574
cursed,la'ananne,la'ananne,anger,0.574
sneer,zagi,zagi,anger,0.574
death,mutuwa,mutuwa,anger,0.574
shit,shirme,shirme,anger,0.573
slash,yanka,yanka,anger,0.571
unfair,rashin adalci,rashin adalci,anger,0.571
disparaging,wulakanci,wulaƙanci,anger,0.571
gallows,rataye,rataye,anger,0.57
escalate,haɓaka,haɓaka,anger,0.569
intolerant,rashin haƙuri,rashin haƙuri,anger,0.564
lawlessness,rashin bin doka,rashin bin doka,anger,0.563
bluddy,m,rufe da jini,anger,0.562
dreadful,m,mai haddasa wahala,anger,0.562
arghh,arghh,nuna ɓacin rai,anger,0.562
derogatory,wulakanci,wulaƙanci,anger,0.562
beast,dabba,dabba,anger,0.562
malign,zagi,zagi,anger,0.562
traitor,mayaudari,mayaudari,anger,0.562
grouchy,m,mai mummunan hali,anger,0.562
slander,ƙiren ƙarya,ƙiren ƙarya,anger,0.562
wrangling,rigima,rigima,anger,0.562
taunt,zagi,zagi,anger,0.562
perdition,halaka,halaka,anger,0.562
frightful,tsoratarwa,tsoratarwa,anger,0.562
invade,mamayewa,mamayewa,anger,0.562
glare,haske,haske,anger,0.562
deceived,yaudara,yaudara,anger,0.562
torpedo,torpedo,rokar jirgin ruwa,anger,0.562
bellows,bellows,zuga-zugi,anger,0.562
retards,jinkiri,jinkiri,anger,0.562
bearish,bearish,baƙin ciki,anger,0.562
rave,rave,liyafa da shaye-shaye,anger,0.561
hurt,rauni,rauni,anger,0.561
grating,grating,magana mai tsauri,anger,0.561
thief,barawo,ɓarawo,anger,0.561
uncontrollable,wanda ba a iya sarrafa shi,wanda ba a iya sarrafa shi,anger,0.561
idiots,wawaye,wawaye,anger,0.561
devastating,m,mai matuƙar lalacewa,anger,0.561
banshee,banshee,aljanar banshee,anger,0.561
cross,giciye,giciye,anger,0.561
betrayal,cin amana,cin amana,anger,0.561
fits,yayi daidai,ya dace,anger,0.561
shatter,farfashe,farfashe,anger,0.561
conflagration,ƙonewa,ƙonewa,anger,0.561
jeopardize,barazana,barazana,anger,0.561
dissension,rashin jituwa,rashin jituwa,anger,0.561
subjugation,subjugation,mallakar dole,anger,0.559
disturbed,damuwa,damuwa,anger,0.559
stomped,buga,buga,anger,0.557
grab,kwace,ƙwace,anger,0.557
ticked,alamar,alamar,anger,0.556
masochism,masochism,gamsuwa ta wahala,anger,0.556
grievance,korafi,ƙorafi,anger,0.556
defiance,bijirewa,bijirewa,anger,0.552
blackmail,cin zarafi,cin zarafi,anger,0.55
offensive,m,na sa ɓacin rai,anger,0.549
decry,decry,la'anta,anger,0.548
sin,zunubi,zunubi,anger,0.547
fustrated,fustrated,takaici,anger,0.547
ire,irin,irin,anger,0.547
confine,tsare,tsare,anger,0.547
deceive,yaudara,yaudara,anger,0.547
punishment,azaba,azaba,anger,0.547
violation,cin zarafi,cin zarafi,anger,0.547
preposterous,mugu,mugu,anger,0.547
disgraceful,wulakanci,wulaƙanci,anger,0.547
darkside,duhu,duhu,anger,0.547
frustrates,takaici,takaici,anger,0.547
overbearing,mai wuce gona da iri,mai wuce gona da iri,anger,0.547
misery,zullumi,zullumi,anger,0.547
firearms,bindigogi,bindigogi,anger,0.547
rebel,'yan tawaye,'yan tawaye,anger,0.547
shrill,rawar jiki,rawar jiki,anger,0.547
disparity,banbanci,bambanci,anger,0.547
hadenough,isa,isa,anger,0.546
stolen,sata,sata,anger,0.546
foul,mugunta,mugunta,anger,0.545
adversary,abokin gaba,abokin gaba,anger,0.545
conspirator,makirci,makirci,anger,0.545
skirmish,fadan,fadan,anger,0.545
ruined,lalace,lalace,anger,0.545
annoyin,annoyin,mai ban haushi,anger,0.545
menace,barazana,barazana,anger,0.545
tackle,magance,magance,anger,0.545
humiliate,wulakanci,wulaƙanci,anger,0.545
