word,machine_translation,human_translation,label,emotion_intensity_score
odious,jọgburu onwe ya,jọgburu onwe ya,anger,0.667
shout,tie mkpu,tie mkpu,anger,0.667
eruption,mgbawa,mgbawa,anger,0.667
cutthroat,akpịrị ịkpọ nkụ,akpịrị ịkpọ nkụ,anger,0.667
kick,igba,igba,anger,0.667
hateeveryone,onye ọ bụla,kpọrọ onye ọbụla asi,anger,0.667
hit,kụrụ,kụrụ,anger,0.667
fight,lụọ ọgụ,lụọ ọgụ,anger,0.667
enemy,onye iro,onye iro,anger,0.667
combat,ọgụ,ọgụ,anger,0.667
aggressive,na -eme ihe ike,na -eme ihe ike,anger,0.667
punished,tara ahụhụ,tara ahụhụ,anger,0.662
yell,tie mkpu,tie mkpu,anger,0.661
ambush,n ambru nbì,ọnya,anger,0.661
harass,mmanye egwu,mmanye egwu,anger,0.659
gore,egwu,ọbara,anger,0.656
expel,chụpụ,chụpụ,anger,0.656
malignant,dị njọ,dị njọ,anger,0.656
destruction,mbibi,mbibi,anger,0.656
aggressor,onye mwakpo,onye mwakpo,anger,0.656
incense,ihe nsure ọkụ,ihe nsure ọkụ,anger,0.656
grudge,iwe,iwe,anger,0.656
antichrist,onye na -emegide Kraịst,onye na -emegide Kraịst,anger,0.656
cranky,cranky,agbakasị,anger,0.653
reprisal,mmegwara,mmegwara,anger,0.652
slave,ohu,ohu,anger,0.652
growl,ime mkpu,ime mkpu,anger,0.652
offended,mejọrọ,mejọrọ,anger,0.652
clashing,na -atụkọta ọnụ,na -atụkọta ọnụ,anger,0.652
insulting,mkparị,mkparị,anger,0.652
insurrection,nnupụisi,nnupụisi,anger,0.652
spank,spank,ịpịa,anger,0.652
animosity,ibu iro,ibu iro,anger,0.652
denounce,ịkatọ,ịkatọ,anger,0.652
growls,ime mkpu,ime mkpu,anger,0.649
executioner,onye ogbugbu,onye ogbugbu,anger,0.644
twat,twat,adọkpụpụ,anger,0.644
doomsday,ụbọchị mbibi,ụbọchị mbibi,anger,0.643
bombard,ogbunigwe,ogbunigwe,anger,0.641
feud,esem -okwu,esem -okwu,anger,0.641
accused,onye eboro ebubo,onye eboro ebubo,anger,0.641
arson,oku oku,oku oku,anger,0.641
shackle,nkpa olu,nkpa olu,anger,0.641
indignant,were iwe,were iwe,anger,0.641
obscenity,ihe rụrụ arụ,ihe rụrụ arụ,anger,0.641
spat,gbụpụ,gbụpụ,anger,0.641
havoc,mbibi,mbibi,anger,0.641
inexcusable,enweghị mgbaghara,enweghị mgbaghara,anger,0.641
expulsion,nchụpụ,nchụpụ,anger,0.641
reprimand,mba,mba,anger,0.641
poisoned,nsi,nsi,anger,0.636
kicking,na -agba ụkwụ,na -agba ụkwụ,anger,0.636
wound,ọnya,ọnya,anger,0.636
batter,ogbe,ogbe,anger,0.636
frustrated,nkụda mmụọ,nkụda mmụọ,anger,0.636
hanging,nghọta,nghọta,anger,0.636
disgusting,na -asọ oyi,na -asọ oyi,anger,0.636
spanking,na -agbasa,na -agbasa,anger,0.636
suicidal,igbu onwe onye,igbu onwe onye,anger,0.636
anarchy,ogba aghara,ogba aghara,anger,0.636
glaring,na -enwu enwu,na -enwu enwu,anger,0.636
combatant,onye agha,onye agha,anger,0.636
wrecked,mebiri,mebiri,anger,0.633
inflict,imerụ,imerụ,anger,0.633
grievous,dị njọ,dị njọ,anger,0.632
cheat,igwu wayo,igwu wayo,anger,0.63
prosecute,kpee ikpe,kpee ikpe,anger,0.63
agitated,were iwe,were iwe,anger,0.63
swastika,swastika,uhie,anger,0.627
enslaved,ohu,ohu,anger,0.625
scourge,ihe otiti,ihe otiti,anger,0.625
raid,mwakpo,mwakpo,anger,0.625
suffocation,iwepu,mtọgbu,anger,0.625
defamatory,nkwutọ,nkwutọ,anger,0.625
indict,bo ebubo,ima ikpe,anger,0.625
cursing,ọbụbụ ọnụ,ọbụbụ ọnụ,anger,0.625
provocation,mkpasu iwe,mkpasu iwe,anger,0.625
harassing,na -enye nsogbu,na -enye nsogbu,anger,0.625
injure,mmerụ ahụ,mmerụ ahụ,anger,0.625
betray,arara nye,arara nye,anger,0.625
thundering,égbè eluigwe,égbè eluigwe,anger,0.625
strife,esemokwu,esemokwu,anger,0.625
arsehole,oghere,oghere,anger,0.624
jerk,egwu,egwu,anger,0.621
retaliation,mmegwara,mmegwara,anger,0.621
fiend,fiend,ekwensu,anger,0.621
theft,izu ohi,izu ohi,anger,0.621
insane,ara,ara,anger,0.621
irritate,kpasuo iwe,kpasuo iwe,anger,0.621
deprivation,mwepu,nnapụ ihe,anger,0.621
convict,ikpe,ikpe,anger,0.621
cussed,kwụrụ ọtọ,enweghị njegharị,anger,0.619
turmoil,ọgba aghara,ọgba aghara,anger,0.618
smack,malite,tieaka,anger,0.615
retribution,ntaramahụhụ,mmehie,anger,0.614
adverse,oghom,ọghọm,anger,0.609
battery,batrị,batrị,anger,0.609
twats,twats,ọgazị,anger,0.609
collision,nkukota,nkukọta,anger,0.609
injurious,na -emerụ ahụ,na -emerụ ahụ,anger,0.609
rebellion,nnupu isi,nnupu isi,anger,0.609
slavery,ịgba ohu,ịgba ohu,anger,0.609
gang,òtù ọjọọ,òtù ọjọọ,anger,0.609
irritability,mgbakasị,mgbakasị,anger,0.609
bitterly,ilu,ilu,anger,0.609
oppressor,onye mmegbu,onye mmegbu,anger,0.609
antagonism,mmegide,mmegide,anger,0.609
intolerable,anagideghi ihe,anagideghi ihe,anger,0.609
disgraced,ihere,ihere,anger,0.608
diatribe,diatribe,ịjụ ihe,anger,0.606
sickening,na -arịa ọrịa,na -arịa ọrịa,anger,0.606
ranting,na -achị ọchị,itimkpu,anger,0.606
asshole,Ike,Ike,anger,0.606
irks,irks,iwe,anger,0.606
irritating,na -akpasu iwe,na -akpasu iwe,anger,0.606
discrimination,ịkpa oke,ịkpa oke,anger,0.606
bombardment,ogbunigwe,ogbunigwe,anger,0.606
thug,onye ohi,onye ohi,anger,0.606
antagonistic,na -emegide,na -emegide,anger,0.606
revolution,mgbanwe,mgbanwe,anger,0.606
blast,mgbawa,mgbawa,anger,0.606
frustrate,nkụda mmụọ,nkụda mmụọ,anger,0.604
tension,obi erughị ala,obi erughị ala,anger,0.603
manipulation,aghụghọ,aghụghọ,anger,0.603
oppression,mmegbu,mmegbu,anger,0.603
hurtful,na -afụ ụfụ,na -afụ ụfụ,anger,0.603
insult,mkparị,mkparị,anger,0.603
tiredofit,ike gwụrụ,ike gwụrụ,anger,0.603
bigot,onye isi ike,onye isi ike,anger,0.603
disgust,na -asọ oyi,na -asọ oyi,anger,0.602
spite,n'agbanyeghị,n'agbanyeghị,anger,0.6
intrusive,intrusive,ime tafịa,anger,0.598
harshness,isi ike,isi ike,anger,0.597
slur,slur,ihichapụ,anger,0.596
bitterness,ilu,ilu,anger,0.594
tempest,oké ifufe,oké ifufe,anger,0.594
miserable,nhụsianya,nhụsianya,anger,0.594
morbidity,ọrịa,ọrịa,anger,0.594
assail,mwakpo,mwakpo,anger,0.594
puncture,mgbapu,oghere,anger,0.594
invasion,mbuso agha,mbuso agha,anger,0.594
inferno,inferno,ọkụ mmụọ,anger,0.594
casualty,ihe mberede,ihe mberede,anger,0.594
storming,ebili mmiri,ebili mmiri,anger,0.594
wretch,ihe ojoo,onye iwe,anger,0.594
consternation,mgbagwoju anya,oti mkpu,anger,0.592
guillotine,guillotine,kemikal,anger,0.591
forcibly,n'ike,n'ike,anger,0.591
overpowering,karịrị akarị,karịrị akarị,anger,0.591
immoral,omume rụrụ arụ,omume rụrụ arụ,anger,0.591
guilty,onye ikpe mara,onye ikpe mara,anger,0.591
depraved,rụrụ arụ,rụrụ arụ,anger,0.591
raving,na -egwu egwu,na -egwu egwu,anger,0.591
soannoyed,na -enye ume,na- ewe iwe,anger,0.588
recalcitrant,recalcitrant,isi ike,anger,0.588
accursed,bụrụ ọnụ,bụrụ ọnụ,anger,0.588
screwed,kposara,kposara,anger,0.588
invader,onye mwakpo,onye mwakpo,anger,0.588
scare,egwu,egwu,anger,0.588
indignation,iwe,iwe,anger,0.587
jealousy,ekworo,ekworo,anger,0.587
vexed,na -ewe iwe,na -ewe iwe,anger,0.586
confront,zute,ịma aka,anger,0.582
brute,brute,obi tara mmiri,anger,0.581
throttle,trotul,trotul,anger,0.579
provoking,na -akpali akpali,na-akpasu iwe,anger,0.578
coup,ọchịchị,ọchịchị,anger,0.578
pillage,ịkwakọrọ ihe,ịkwakọrọ ihe,anger,0.578
damage,mmebi,mmebi,anger,0.578
shutup,kpuchie ọnụ,kpuchie ọnụ,anger,0.578
contentious,na -ese okwu,na -ese okwu,anger,0.578
shutit,mechie,mechie,anger,0.578
bickering,na -ese okwu,na -ese okwu,anger,0.578
incarceration,mkporo,mkpọrọ,anger,0.578
butcher,onye na-egbu anụ,onye na-egbu anụ,anger,0.578
lash,ogwe aka,adịghị mma,anger,0.578
conflict,esemokwu,esemokwu,anger,0.578
blaze,ire ọkụ,ire ọkụ,anger,0.578
slut,onye nzuzu,onye nzuzu,anger,0.578
defiant,enupu isi,enupu isi,anger,0.578
wreck,mkpọka,mkpọka,anger,0.578
revolver,mgbagharị,mgbagharị,anger,0.578
yousuck,ị nweghị isi,ị nweghị isi,anger,0.578
criminality,mpụ,mpụ,anger,0.578
cancer,ọrịa kansa,ọrịa kansa,anger,0.577
frustration,nkụda mmụọ,nkụda mmụọ,anger,0.576
standoff,nkwụsị,nkwụsị,anger,0.576
gory,gory,ọbara,anger,0.576
dontmess,echegbula,akpana aghara,anger,0.576
alienation,nkewa,mchụpụ,anger,0.576
gun,egbe,egbe,anger,0.576
pernicious,ihe ojoo,ihe ọjọọ,anger,0.576
grope,na -asọ asọ,na -asọ asọ,anger,0.576
discord,esemokwu,esemokwu,anger,0.576
condescension,obi umeala,obi umeala,anger,0.576
discriminate,ikpa oke,ikpa oke,anger,0.576
blasphemy,nkwulu,nkwulu,anger,0.576
chaotic,ogbaaghara,ọgba aghara,anger,0.576
disturbance,nsogbu,nsogbu,anger,0.576
friggen,friggen,frijin,anger,0.575
jab,jab,ima,anger,0.574
monstrosity,monstrosity,anụ,anger,0.574
lunacy,nzuzu,nzuzu,anger,0.574
oppressive,mmegbu,mmegbu,anger,0.574
scandalous,dị egwu,dị egwu,anger,0.574
cursed,bụrụ ọnụ,bụrụ ọnụ,anger,0.574
sneer,njakịrị,ịbuli,anger,0.574
death,ọnwụ,ọnwụ,anger,0.574
shit,ihe nzuzu,ihe nzuzu,anger,0.573
slash,gbuo,gbuo,anger,0.571
unfair,adighi mma,adịghị mma,anger,0.571
disparaging,na -akparị,na -akparị,anger,0.571
gallows,osisi,osisi,anger,0.57
escalate,mụbaa,mụbaa,anger,0.569
intolerant,anagideghi ihe,anagideghi ihe,anger,0.564
lawlessness,mmebi iwu,mmebi iwu,anger,0.563
bluddy,adịghị mma,adịghị mma,anger,0.562
dreadful,dị egwu,dị egwu,anger,0.562
arghh,agh,agh,anger,0.562
derogatory,okwu mkparị,okwu mkparị,anger,0.562
beast,anụ ọhịa,anụ ọhịa,anger,0.562
malign,okwu ojoo,ihe ọjọọ,anger,0.562
