word,machine,human,label,emotion_intensity_score
vengeance,ẹsan,ẹ̀san,anger,0.886
wrath,ibinu,ìbínú,anger,0.885
torment,ijiya,ìjàyè,anger,0.885
vicious,buburu,búburú,anger,0.884
threatening,idẹruba,ìdẹ́rùbà,anger,0.882
massacre,ipakupa,ìpakúpa,anger,0.882
bloodthirsty,ongbẹ ẹjẹ,Òngbẹ ẹ̀jẹ̀,anger,0.875
abhorrent,irira,ìríra,anger,0.875
pissoff,pissoff,bínú lọ,anger,0.875
fighting,ija,ìjà,anger,0.868
annihilated,parun,parun,anger,0.865
attacking,kọlu,kọlù,anger,0.865
angriest,ibinu,ìbínú,anger,0.864
bloodshed,itajesile,ìtàjẹ̀sílẹ̀,anger,0.864
smite,lu,lùpa,anger,0.862
brawl,ija,ìjà,anger,0.861
assault,ikọlu,Ìkọlù,anger,0.859
assassination,ipaniyan,ìpànìyàn,anger,0.859
strangle,pa,fún lọ́rùn,anger,0.859
explode,gbamu,gbàmù,anger,0.859
malicious,irira,ìríra,anger,0.859
tirade,tirade,ọ̀rọ̀ ìjà,anger,0.859
hostility,igbogunti,ìgbóguntì,anger,0.859
loathsome,irira,ìríra,anger,0.857
attack,kolu,kọlù,anger,0.853
hell,apaadi,ọ̀run àpáàdì,anger,0.853
murderous,apànìyàn,apànìyàn,anger,0.853
malice,arankàn,òdì,anger,0.852
terrorism,ipanilaya,ìpániláyà,anger,0.851
beating,lilu,lílù,anger,0.849
pissingmeoff,pissingmeoff,ń bí mi nínú,anger,0.848
desecration,ibajẹ,ìbàjẹ́,anger,0.848
outrage,ibinu,ìbínú,anger,0.848
irate,ibinu,ìbínú,anger,0.844
tumultuous,rudurudu,rúdurùdu,anger,0.844
destroying,ìparun,ìparun,anger,0.844
violent,iwa -ipa,ìwà-ìpá,anger,0.844
stab,gún,gún,anger,0.844
infuriate,binu,bínú,anger,0.844
slaughter,pipa,pípa,anger,0.844
abomination,irira,ìríra,anger,0.844
obliterate,parun,parun,anger,0.843
dumbbitch,dumbbitch,Aṣẹ́wó òṣì,anger,0.841
belligerent,oníjàgídíjàgan,oníjàgídíjàgan,anger,0.841
detest,irira,ìríra,anger,0.838
hostilities,igbogunti,àwọn ìgbóguntì,anger,0.837
prick,prick,kúlú,anger,0.835
cruelty,ìkà,ìkà,anger,0.833
horrid,horrid,burújù,anger,0.833
rampage,rampage,faraya,anger,0.833
rabid,rabid,ṣiwèrè,anger,0.833
torture,ìdálóró,ìdálóró,anger,0.833
satanic,sataniki,ti èṣù,anger,0.828
hate,ikorira,ìkóríra,anger,0.828
hating,ikorira,ìkóríra,anger,0.828
tyrannical,alagidi,alágídí,anger,0.828
demonic,eṣu,èṣù,anger,0.828
ragemode,ragemode,ipò ìrunú,anger,0.828
despicable,ẹlẹgàn,ẹlẹ̀gaǹ,anger,0.828
ruinous,iparun,ìparun,anger,0.825
condemn,da lẹbi,dá lẹ̀bi,anger,0.825
extermination,ìparun,ìparun,anger,0.824
riots,rudurudu,rúdurùdu,anger,0.824
dickhead,dickhead,òpònú,anger,0.824
angry,binu,bínú,anger,0.824
demolish,wó lulẹ̀,wó lulẹ̀,anger,0.824
livid,livid,Ìbínú fùfù,anger,0.821
madman,aṣiwere,aṣiwèrè,anger,0.82
vindictive,ẹsan,ẹ̀san,anger,0.819
ferocity,ferocity,ìrorò,anger,0.818
terrorist,apanilaya,apániláyà,anger,0.818
venomous,oró,oró,anger,0.818
threaten,halẹ,halẹ̀,anger,0.818
hateyou,korira re,Kórìra rẹ,anger,0.818
effyou,effyou,ìsọkúsọ,anger,0.818
abhor,korira,kórira,anger,0.816
carnage,ipakupa,Okú púpọ̀,anger,0.814
savage,iwa ika,rorò,anger,0.814
atrocity,iwa ika,ìṣe búburú,anger,0.814
fuming,fuming,ìrunú,anger,0.812
pissedoff,inu bibi,bínú,anger,0.812
pissesmeoff,pissesmeoff,Mú inú bí mi,anger,0.812
fierce,imuna,gbóná,anger,0.812
abuse,ilokulo,ìlòkulò,anger,0.812
barbaric,ẹranko,ẹranko,anger,0.812
berserk,aṣeju,àṣejù,anger,0.812
fucksake,fucksake,bínú,anger,0.812
vendetta,vendetta,gbẹ̀san,anger,0.812
angrytweet,binu,ọ̀rọ̀ ìbínú,anger,0.812
destroyer,apanirun,apanirun,anger,0.812
tyrant,alade,alade,anger,0.812
anger,ibinu,ìbínú,anger,0.811
pieceofshit,nkan isere,ǹkan ìṣeré,anger,0.81
slam,slam,fi agbára tì,anger,0.803
punching,lilu,lílù,anger,0.803
homicide,ipaniyan,ìpànìyàn,anger,0.803
punched,lù,lù,anger,0.803
bitch,bishi,aṣẹ́wó,anger,0.803
fights,ìjà,ìjà,anger,0.803
destructive,apanirun,apanirun,anger,0.797
ruthless,aláìláàánú,aláìláàánú,anger,0.797
villainous,buburu,búburú,anger,0.797
slap,gbá,gbá,anger,0.791
destroyed,run,rún,anger,0.788
ragetweet,ragetweet,ọrọ ìbínú,anger,0.788
slaughterhouse,agbo ẹran,agbo ẹran,anger,0.788
retaliatory,igbẹsan,ìgbẹ̀san,anger,0.788
yelling,nkigbe,ńkígbe,anger,0.788
riot,rogbodiyan,rògbòdìyàn,anger,0.788
punishing,ijiya,ìjìyà,anger,0.788
growthefuckup,dagba ifamọra,dàgbà ìfàmọ́ra,anger,0.788
diabolical,diabolical,lọ́wọ́ ayé,anger,0.788
clash,figagbaga,figagbága,anger,0.783
manslaughter,ipaniyan,ìpànìyàn,anger,0.783
hellish,apaadi,àpáàdì,anger,0.781
bloody,itajesile,ìtàjẹ̀sílẹ̀,anger,0.781
loath,ikorira,Ìkórìra,anger,0.781
quarrel,ìjà,ìjà,anger,0.781
detonation,ìbọn,Yínyin ìbọn,anger,0.781
sinister,ẹlẹṣẹ,ẹlẹ́ṣẹ̀,anger,0.781
fumin,fumin,ìrunú,anger,0.779
hateeee,korira,Kórìra,anger,0.779
treacherous,arekereke,àrékérekè,anger,0.779
accusing,ẹsùn,ẹsùn,anger,0.779
madder,aṣiwere,aṣiwèrè,anger,0.773
retaliate,gbesan,gbẹ̀san,anger,0.773
revulsion,ifilọlẹ,Ìfilọ́lẹ̀,anger,0.773
horrific,oburewa,burẹ́wà,anger,0.773
scorn,ẹgan,ẹ̀gàn,anger,0.769
bomb,bombu,àdó olóró,anger,0.766
deplorable,ìbànújẹ́,ìbànújẹ́,anger,0.766
anarchist,anarchist,adárúdurùdusílẹ̀,anger,0.765
devastation,iparun,ìparun,anger,0.765
resent,binu,bínú,anger,0.765
firestorm,ijona ina,ìjóná iná,anger,0.765
contemptible,ẹgan,ẹ̀gàn,anger,0.764
shittest,ẹlẹtan,ẹlẹ̀tàn,anger,0.76
smash,fọ,fọ́,anger,0.758
deadly,oloro,olóró,anger,0.758
soangry,soangry,bínú púpọ̀,anger,0.758
rant,ariwo,ariwo,anger,0.758
cruel,ìka,ìkà,anger,0.758
outburst,ariwo,ariwo,anger,0.757
snarl,ipọnju,ìpọ́njú,anger,0.754
crazed,crazed,sínwín,anger,0.75
dontmesswithme,dontmesswithme,Má mú inú bí mi,anger,0.75
profane,alaimọ,aláìmọ́,anger,0.75
aggravating,aggravating,Sọ dì bàjẹ́,anger,0.75
douchebags,douchebags,ọ̀dẹ̀,anger,0.75
offend,ṣẹ,Sẹ̀,anger,0.75
horror,ibanuje,ìbànújẹ́,anger,0.75
revolting,sote,ṣe ọ̀tẹ̀,anger,0.75
despise,gàn,gàn,anger,0.75
vulgarity,iwa palapala,Ìwà pálapàla,anger,0.75
growling,igbe,igbe,anger,0.75
stfu,stfu,gbẹ́nu dákẹ́,anger,0.75
molestation,ipaniyan,ìyọlẹ́nu,anger,0.742
fuckedoff,aṣiwere,kúrò níbí ọ̀dẹ̀,anger,0.742
erupt,erupt,sú,anger,0.742
violence,iwa -ipa,Ìwà-ìpá,anger,0.742
horrible,oburewa,óburẹ́wà,anger,0.742
screaming,ikigbe,Ìkígbe,anger,0.742
threat,irokeke,ìrọ́kẹ̀kẹ́,anger,0.742
bastards,ale,àlè,anger,0.741
revenge,igbẹsan,Ìgbẹ̀san,anger,0.738
menacing,idẹruba,Ìdẹ́rùbà,anger,0.735
crushing,fifun pa,Fífún pa,anger,0.735
damn,Gbaga,gbaga,anger,0.735
catastrophe,ajalu,àjálù,anger,0.735
demon,ànjọ̀nú,àǹjọ̀nú,anger,0.735
argue,jiyan,jiyàn,anger,0.734
fedup,feedup,tojú ṣú,anger,0.734
vehement,igara,ìgara,anger,0.734
thrash,ipọnju,ìpọ́njú,anger,0.734
warfare,ogun,ogun,anger,0.734
revolt,ṣọtẹ,ṣọ̀tẹ̀,anger,0.734
flog,nà,nà,anger,0.734
deplore,banujẹ,Banújẹ́,anger,0.734
persecute,inunibini si,Inúnibíni sí,anger,0.734
riotous,rudurudu,rúdurùdu,anger,0.734
altercation,altercation,àríyànjiyàn,anger,0.729
warlike,ogun bi,Bíi ogun,anger,0.728
mutiny,ipaniyan,ìpànìyàn,anger,0.727
shitday,ojo ojo,Ọjọ́ búrubú,anger,0.727
sabotage,sabotage,Ṣe àkóbá fún,anger,0.727
castrate,castrate,tẹ̀ ní ọ̀dá,anger,0.727
strike,idasesile,lù,anger,0.721
malevolent,aṣebiakọ,Nínú búburú,anger,0.721
disaster,ajalu,àjálù,anger,0.721
disastrous,ajalu,àjálù,anger,0.72
disdain,kẹgàn,Kẹ́gàn,anger,0.719
choke,pa,pa,anger,0.719
arseholes,arseholes,afọ́kungbému,anger,0.719
devil,bìlísì,bìlísì,anger,0.719
scream,paruwo,pariwo,anger,0.719
spiteful,lilu,lílù,anger,0.719
bastarding,bastarding,bàjẹ́,anger,0.719
scorching,gbigbona,Ń jóni,anger,0.719
horseshit,horseshit,àsé,anger,0.719
treachery,arekereke,àrékérekè,anger,0.719
slay,Pa,pa,anger,0.719
brutal,ìka,ìkà,anger,0.719
tumult,ariwo,ariwo,anger,0.719
madden,aṣiwere,aṣiwèrè,anger,0.719
aggravates,aggravates,Sọ di búburú,anger,0.719
vermin,kokoro,Ohun ìrákò ìríra,anger,0.719
anarchism,anarchism,àilófin,anger,0.714
mutilation,ipaniyan,ìpànìyàn,anger,0.714
mangle,mangle,fìyàjẹ,anger,0.714
criminal,odaran,ọ̀daràn,anger,0.714
punch,Punch,Ìṣẹ́,anger,0.713
denunciation,ìdálẹ́bi,ìdálẹ́bi,anger,0.713
holocaust,ipaniyan,ìpànìyàn,anger,0.712
blasphemous,ọrọ odi,ọ̀rọ̀ òdì,anger,0.712
battled,jagun,jagun,anger,0.712
dumbasses,dumbasses,ọ̀dẹ̀,anger,0.712
fatal,apaniyan,La ikú lọ,anger,0.712
virulence,virulence,tikú,anger,0.712
dontlikeyou,maṣe fẹran rẹ,máṣe fẹ́ràn rẹ,anger,0.712
hurting,farapa,farapa,anger,0.712
crucifixion,agbelebu,àgbélèbú,anger,0.712
deranged,ti bajẹ,ti bàjẹ́,anger,0.706
evil,ibi,ibi,anger,0.706
irritated,hihun,híhún,anger,0.706
atrocious,oniwa buburu,Oníwà búburú,anger,0.706
assassin,apaniyan,apànìyàn,anger,0.703
intimidation,idẹruba,Ìdẹ́rùbà,anger,0.703
persecution,inunibini,inúnibíni,anger,0.703
slayer,apaniyan,apànìyàn,anger,0.703
kidnap,kidnap,jígbé,anger,0.703
dicks,dicks,èébú,anger,0.703
scolding,ibawi,ìbáwí,anger,0.703
aggravated,buru si,Sọ di búburú,anger,0.703
aggression,ifinran,Ìfínràn,anger,0.702
armed,ni ihamọra,Ní hìhámọ́ra,anger,0.7
poison,majele,Májèlé,anger,0.697
snarling,ariwo,ariwo,anger,0.697
venom,oró,oró,anger,0.697
battle,ogun,ogun,anger,0.697
disgruntled,disgruntled,bínú fùfù,anger,0.693
assailant,apaniyan,apanìyàn,anger,0.691
insidious,alaigbọran,Aláìgbọràn,anger,0.691
resentment,ìkóríra,ìkóríra,anger,0.691
contemptuous,ẹgan,ẹ̀gàn,anger,0.69
lynch,lynch,pànìyà,anger,0.69
lunatic,aṣiwere,aṣiwèrè,anger,0.688
mad,asiwere,ya wèrè,anger,0.688
peeved,peeved,bínú,anger,0.688
bully,ipanilaya,ìpániĺayà,anger,0.688
temper,ibinu,ìbínú,anger,0.688
infanticide,ipaniyan ọmọ,ìpànìyàn ọmọ,anger,0.688
curse,eegun,èègún,anger,0.688
domination,akoso,àkóso,anger,0.688
imprisonment,ẹwọn,ẹ̀wọ̀n,anger,0.688
terrible,ẹru,ẹ̀rù,anger,0.688
disparage,disparage,yànjẹ,anger,0.688
makesmemad,makememad,mú mi ya wèrè,anger,0.688
volatility,iyipada,ìyípadà,anger,0.687
eradication,imukuro,ìmúkúrò,anger,0.685
scoundrel,ẹlẹgbin,ẹlẹ́gbìn,anger,0.682
eradicate,paarẹ,parẹ́,anger,0.682
tantrum,ibinu,ibínú,anger,0.682
devastate,iparun,ìparun,anger,0.682
agitation,ibanuje,Ìbànújẹ́,anger,0.68
aggressively,ibinu,tì bínú tì bínú,anger,0.68
irritates,binu,bínú,anger,0.676
dictatorship,apanirun,apanirun,anger,0.676
profanity,aibuku,àìmọ́,anger,0.673
dastardly,dastardly,bíi búburú,anger,0.672
expletive,expletive,ìbúra,anger,0.672
wreak,ibajẹ,ìbàjẹ́,anger,0.672
contempt,ẹgan,ẹ̀gàn,anger,0.672
crime,ilufin,ìrúfin,anger,0.672
poisonous,majele,májèlé,anger,0.672
nasty,ẹgbin,ẹ̀gbin,anger,0.672
aggravation,irẹwẹsi,Ìrẹ̀wẹ̀sì,anger,0.672
condemnation,ìdálẹ́bi,ìdálẹ́bi,anger,0.672
egregious,egregious,burú jáì,anger,0.672
shove,gbon,tì síwájú,anger,0.672
shoot,iyaworan,ìyàwòrán,anger,0.672
shot,ìbọn,ìbọn,anger,0.672
crushed,itemole,Ìtẹ̀mọ́lẹ̀,anger,0.672
corrupting,ibajẹ,Ìbàjẹ́,anger,0.672
harmful,ipalara,ìpalára,anger,0.672
cruelly,ìkà,ìkà,anger,0.672
maniac,maniac,òkúndùn,anger,0.67
irritable,irritable,gbónára,anger,0.667
shooting,iyaworan,ìyàwòrán,anger,0.667
odious,ẹlẹgbin,ẹlẹ́gbin,anger,0.667
shout,kigbe,kígbe,anger,0.667
eruption,eruption,ìtújáde,anger,0.667
cutthroat,ọgbẹ ọgbẹ,Gé ọkàn,anger,0.667
kick,tapa,tàpá,anger,0.667
hateeveryone,gbogbo eniyan,Kórìra gbogbo ènìyàn,anger,0.667
hit,lu,lù,anger,0.667
fight,ja,jà,anger,0.667
enemy,ota,ọ̀tá,anger,0.667
combat,ija,ìjà,anger,0.667
aggressive,ibinu,ìbínú,anger,0.667
punished,jiya,jìyà,anger,0.662
yell,kigbe,kígbe,anger,0.661
ambush,ibùba,ibùbá,anger,0.661
harass,wahala,wàhálà,anger,0.659
gore,gore,dúmbù,anger,0.656
expel,le jade,lé jáde,anger,0.656
malignant,buburu,búburú,anger,0.656
destruction,ìparun,ìparun,anger,0.656
aggressor,onijagidijagan,oníjàgídíjàgan,anger,0.656
incense,turari,tùràrí,anger,0.656
grudge,kikorò,kíkorò,anger,0.656
antichrist,Dajjal,Aṣòdìsí krístì,anger,0.656
cranky,cranky,rí bákan,anger,0.653
reprisal,igbẹsan,Ìgbẹ̀san,anger,0.652
slave,ẹrú,ẹrú,anger,0.652
growl,igbe,igbe,anger,0.652
offended,ṣẹ,ṣẹ̀,anger,0.652
clashing,figagbaga,figagbága,anger,0.652
insulting,itiju,ìtìjú,anger,0.652
insurrection,iṣọtẹ,Ìṣọ̀tẹ̀,anger,0.652
spank,nà,nà,anger,0.652
animosity,ikorira,ìkòrírá,anger,0.652
denounce,ibaniwi,ìbániwí,anger,0.652
growls,igbe,igbe,anger,0.649
executioner,apaniyan,apànìyàn,anger,0.644
twat,twat,ọ̀dẹ̀,anger,0.644
doomsday,ọjọ iparun,ọjọ́ ibi,anger,0.643
bombard,bombu,kóobòó,anger,0.641
feud,ija,ìjà,anger,0.641
accused,ẹsun,ẹ̀sùn,anger,0.641
arson,sisun,fi ilé jóná,anger,0.641
daemon,daemon,àjọ̀nú,anger,0.641
shackle,ẹwọn,ẹ̀wọ̀n,anger,0.641
indignant,ibinu,ìbínú,anger,0.641
obscenity,ohun airi,Ohun àìrí,anger,0.641
spat,tutọ,tutọ́,anger,0.641
havoc,iparun,ìparun,anger,0.641
grr,grr,kùn,anger,0.641
inexcusable,alaigbọwọ,aláìgbọ̀wọ́,anger,0.641
expulsion,imukuro,ìmúkúrò,anger,0.641
reprimand,ibawi,ìbáwí,anger,0.641
somad,somad,bínú gan-an,anger,0.637
poisoned,majele,májèlé,anger,0.636
kicking,gbigba,gbígbá,anger,0.636
wound,ọgbẹ,ọgbẹ́,anger,0.636
batter,batter,bàjẹ́,anger,0.636
frustrated,ibanuje,Ìbànújẹ́,anger,0.636
hanging,adiye,mì jolojolo,anger,0.636
disgusting,ìríra,ìríra,anger,0.636
spanking,liluho,lílù,anger,0.636
suicidal,igbẹmi ara ẹni,Ìgbẹ̀mí ara ẹni,anger,0.636
anarchy,rudurudu,rúdudùru,anger,0.636
glaring,didan,dídán,anger,0.636
combatant,onija,oníjà,anger,0.636
wrecked,ti bajẹ,ti bàjẹ́,anger,0.633
inflict,kọlu,Kọlù,anger,0.633
grievous,ibanuje,Ìbànújẹ́,anger,0.632
cheat,iyanjẹ,Ìyànjẹ,anger,0.63
prosecute,ṣe idajọ,ṣe ìdájọ́,anger,0.63
agitated,binu,bínú,anger,0.63
enslaved,ẹrú,Mú lẹ́rú,anger,0.625
scourge,ẹgba,ẹgba,anger,0.625
raid,igbogun ti,Ìgbógun tì,anger,0.625
suffocation,imukuro,ìmúkúrò,anger,0.625
defamatory,itiju,ìtìjú,anger,0.625
indict,fi ẹsun kan,fi ẹ̀sùn kàn,anger,0.625
cursing,eegun,èègún,anger,0.625
provocation,imunibinu,ìmúnibínú,anger,0.625
harassing,imunibinu,ìmúni bínú,anger,0.625
injure,farapa,farapa,anger,0.625
betray,fi hàn,fi hàn,anger,0.625
thundering,àrá,àrá,anger,0.625
strife,ìjà,ìjà,anger,0.625
arsehole,arsehole,onísọkúsọ,anger,0.624
jerk,oloriburuku,olóríburúkú,anger,0.621
retaliation,igbẹsan,Ìgbẹ̀san,anger,0.621
fiend,fiend,ọ̀tá,anger,0.621
theft,ole,olè,anger,0.621
insane,were,wèrè,anger,0.621
irritate,binu,bínú,anger,0.621
deprivation,alaini,aláìní,anger,0.621
convict,ẹlẹṣẹ,ẹlẹ́ṣẹ̀,anger,0.621
cussed,cussed,múni bínú,anger,0.619
turmoil,rudurudu,rúdurùru,anger,0.618
smack,lù,lù,anger,0.615
retribution,ẹsan,ẹ̀san,anger,0.614
adverse,ikolu,ìkọlù,anger,0.609
battery,batiri,bátìrì,anger,0.609
twats,twats,àwọn ọ̀dẹ̀,anger,0.609
collision,ijamba,ìjàmbá,anger,0.609
injurious,ipalara,ìpalára,anger,0.609
rebellion,iṣọtẹ,Ìṣọ̀tẹ̀,anger,0.609
slavery,ẹrú,ẹrú,anger,0.609
gang,onijagidijagan,oníjàgídíjàgan,anger,0.609
irritability,irritability,ìrínilára,anger,0.609
bitterly,kikorò,kíkorò,anger,0.609
oppressor,aninilara,aninilára,anger,0.609
antagonism,atako,àtakò,anger,0.609
intolerable,ifarada,ìfaradà,anger,0.609
disgraced,itiju,ìtìjú,anger,0.608
diatribe,diatribe,Ọ̀pọ̀ èébú,anger,0.606
sickening,aisan,ń mú sàìsàn,anger,0.606
ranting,kigbe,ń kígbe,anger,0.606
asshole,Iwoomusu,amùsùwà,anger,0.606
irks,irks,àwọn ìbínú,anger,0.606
irritating,hihun,híhún,anger,0.606
discrimination,iyasoto,Ìyàsọ́tọ̀,anger,0.606
bombardment,bombu,kíkọlù,anger,0.606
thug,onijagidijagan,oníjàgídíjàgan,anger,0.606
antagonistic,alatako,ṣe àtakò,anger,0.606
revolution,rogbodiyan,rògbòdìyàn,anger,0.606
blast,fifún,fífẹ́ ẹ̀fúfù,anger,0.606
frustrate,ibanuje,bàjẹ́,anger,0.604
tension,ẹdọfu,ẹ̀dọ̀fù,anger,0.603
manipulation,ifọwọyi,ìfọwọ́yí,anger,0.603
oppression,inilara,ìnilára,anger,0.603
hurtful,ipalara,ìpalára,anger,0.603
insult,itiju,èébú,anger,0.603
tiredofit,bani o,ṣú ni,anger,0.603
bigot,olufokansin,Olùfọkànsìn,anger,0.603
disgust,ìríra,ìríra,anger,0.602
spite,laibikita,kóríra,anger,0.6
intrusive,intrusive,wọlé láìgbàsẹ,anger,0.598
harshness,lile,líle,anger,0.597
slur,slur,yọ́ gíní,anger,0.596
bitterness,kikoro,kíkorò,anger,0.594
tempest,iji,ìjì,anger,0.594
miserable,ibanuje,Òtòṣì,anger,0.594
morbidity,aisan,àìsàn,anger,0.594
assail,ikọlu,Ìkọlù,anger,0.594
puncture,puncture,lu,anger,0.594
invasion,ayabo,àyabò,anger,0.594
inferno,inforno,àìjiná,anger,0.594
casualty,ijamba,ìjàm̀bá,anger,0.594
storming,iji,ìjì,anger,0.594
wretch,ibanuje,Tòṣì,anger,0.594
consternation,idaamu,ìdàmú,anger,0.592
guillotine,guillotine,bẹ́ríbẹ́rí,anger,0.591
forcibly,fi agbara mu,Fi agbára mú,anger,0.591
overpowering,alagbara,alágbára,anger,0.591
immoral,alaimo,aláìmọ́,anger,0.591
guilty,jẹbi,Jẹ̀bi,anger,0.591
depraved,ibajẹ,Ìbàjẹ́,anger,0.591
raving,raving,ọ̀rọ̀ àsé,anger,0.591
soannoyed,soannoyed,bínú gan an,anger,0.588
recalcitrant,alaigbagbọ,aláìgbàgbọ́,anger,0.588
accursed,eegun,èègún,anger,0.588
screwed,dabaru,dabarú,anger,0.588
invader,ayabo,àyabò,anger,0.588
scare,idẹruba,dẹ́rùbà,anger,0.588
indignation,ibinu,ìbínú,anger,0.587
jealousy,owú,owú,anger,0.587
vexed,binu,bínú,anger,0.586
confront,dojuko,dojúkọ,anger,0.582
brute,alaigbọran,aláìgbọràn,anger,0.581
throttle,finasi,finásí,anger,0.579
provoking,imunibinu,ìmúnibínú,anger,0.578
coup,ifipapo,Ìfipapọ̀,anger,0.578
pillage,ikogun,ìkógun,anger,0.578
damage,bibajẹ,bíbàjẹ́,anger,0.578
shutup,dake enu re,dákẹ́ ẹnu rẹ,anger,0.578
contentious,àríyànjiyàn,àríyànjiyàn,anger,0.578
shutit,tiipa,tì í pa,anger,0.578
bickering,ariyanjiyan,àríyànjiyàn,anger,0.578
incarceration,atimole,àtìmọ́lé,anger,0.578
butcher,ẹran,alápatà,anger,0.578
lash,panṣa,pàsán,anger,0.578
conflict,rogbodiyan,rògbòdìyàn,anger,0.578
blaze,ina,iná,anger,0.578
slut,ọlẹ,ọ̀lẹ,anger,0.578
defiant,alaigbọran,aláìgbọràn,anger,0.578
wreck,ibajẹ,Ìbàjẹ́,anger,0.578
revolver,iyipo,ìyípo,anger,0.578
yousuck,o mu,O mukun,anger,0.578
criminality,odaran,ọ̀daràn,anger,0.578
cancer,akàn,akàn,anger,0.577
frustration,ibanuje,Ìbàjẹ́,anger,0.576
standoff,ìforígbárí,ìforígbárí,anger,0.576
gory,gory,kòséwò,anger,0.576
dontmess,maṣe jẹ,máṣe ṣẹ̀,anger,0.576
alienation,iyapa,ìyapa,anger,0.576
gun,ibon,ìbọn,anger,0.576
pernicious,pernicious,léwu,anger,0.576
grope,táràrà,táràrà,anger,0.576
discord,iyapa,ìyapa,anger,0.576
condescension,irẹlẹ,Ìrẹ̀lẹ̀,anger,0.576
discriminate,iyasoto,Ìyàsọ́tọ̀,anger,0.576
blasphemy,ọrọ odi,ọ̀rọ̀ òdì,anger,0.576
chaotic,rudurudu,rúdudùru,anger,0.576
disturbance,idamu,ìdàmú,anger,0.576
friggen,friggen,fìbínú hàn,anger,0.575
jab,jabọ,Jábọ́,anger,0.574
monstrosity,monstrosity,Burú jáì,anger,0.574
lunacy,aṣiwere,aṣiwèrè,anger,0.574
oppressive,aninilara,aninilára,anger,0.574
scandalous,scandalous,Kò bójú mu,anger,0.574
cursed,eegun,èègún,anger,0.574
sneer,ẹlẹgàn,ẹlẹ̀gàn,anger,0.574
death,iku,ikú,anger,0.574
shit,nik,àsé,anger,0.573
slash,din ku,Dín kù,anger,0.571
unfair,aiṣedeede,àiṣedéédé,anger,0.571
disparaging,disparaging,wọ́ ńlẹ̀,anger,0.571
gallows,igi,Mì jolojolo,anger,0.57
escalate,pọ si,pọ̀ sí,anger,0.569
intolerant,alaigbọran,aláìgbọràn,anger,0.564
lawlessness,arufin,arúfin,anger,0.563
bluddy,bluddy,èébú,anger,0.562
dreadful,adẹtẹ,dẹ́rùbà,anger,0.562
arghh,arghh,kégbe aaaa,anger,0.562
derogatory,ẹlẹgàn,ẹlẹ́gàn,anger,0.562
beast,ẹranko,ẹranko,anger,0.562
malign,buburu,búburú,anger,0.562
traitor,ẹlẹtan,ẹlẹ̀tàn,anger,0.562
grouchy,alaigbọran,aláìgbọràn,anger,0.562
slander,ìbanilórúkọjẹ́,ìbanilórúkọjẹ́,anger,0.562
wrangling,jijakadi,jìjàkadì,anger,0.562
taunt,ṣáátá,ṣáátá,anger,0.562
perdition,ègbé,ègbé,anger,0.562
frightful,ẹru,ẹ̀rù,anger,0.562
invade,gbogun,gbógun,anger,0.562
glare,didan,dídán,anger,0.562
deceived,tan,tàn,anger,0.562
torpedo,torpedo,rún jégéjégé,anger,0.562
bellows,Bellows,kégbe,anger,0.562
retards,retards,padàsẹ́yìn,anger,0.562
bearish,ìgboyà,ìgboyà,anger,0.562
