word,machine_translation,human_translation,machine_translation_updated
articulate,sọ asọye,,sọ asọye
immature,ti ko dagba,ti kò lóye,ti kò lóye
clarity,wípé,kedere,kedere
unintelligible,alaimoye,àìyé,àìyé
unequivocal,alaigbagbọ,laiseaniani,laiseaniani
smiling,rerin musẹ,n rerin musẹ,n rerin musẹ
duplicity,ilọpo meji,ayédèrú,ayédèrú
impartially,lai ṣe ojuṣaaju,,lai ṣe ojuṣaaju
exclusion,iyasoto,ìyàsọ́tọ̀,ìyàsọ́tọ̀
unable,lagbara,aláìṣeéṣe,aláìṣeéṣe
leer,leer,àrékérekè,àrékérekè
crowdedness,opo eniyan,ọ̀pọ̀ ènìyàn,ọ̀pọ̀ ènìyàn
prosecutes,prosecutes,ẹjọ́,ẹjọ́
self-serving,ti ara ẹni,sísin ara ẹni,sísin ara ẹni
absolution,idariji,,idariji
unbridled,unbridled,ko ṣe dari,ko ṣe dari
motionless,išipopada,àìlèmira,àìlèmira
quickness,yiyara,,yiyara
swindles,arekereke,àrékérekè,àrékérekè
cynical,alakikanju,alákíkanjú,alákíkanjú
serene,alaafia,dákẹ́-rọ́rọ́,dákẹ́-rọ́rọ́
applauded,iyin,yin,yin
hearten,gbokanle,moriwu,moriwu
crazier,aṣiwere,aṣiwèrè,aṣiwèrè
soapy,ọṣẹ,ọṣẹ,ọṣẹ
tolerable,ifarada,,ifarada
richness,ọlọrọ,lọrọ,lọrọ
humming,humming,kíkùn,kíkùn
horrifys,horrifys,lewu,lewu
contrived,ti pinnu,ti pinnu,ti pinnu
admonish,ṣe ikilọ,ṣe ìkìlọ̀,ṣe ìkìlọ̀
erodes,erodes,parun,parun
bliss,idunnu,alaafia,alaafia
foresee,foresee,imọtẹlẹ,imọtẹlẹ
heavily,darale,gidi-gan,gidi-gan
goodly,daadaa,,daadaa
revoltingly,rogbodiyan,rògbòdìyàn,rògbòdìyàn
questioned,ibeere,ìbéèrè,ìbéèrè
esteem,niyi,,niyi
oversize,apọju,tóbi jù,tóbi jù
validates,validates,fọwọsi,fọwọsi
sorrowful,ibanuje,ìbànújẹ́,ìbànújẹ́
promotion,igbega,,igbega
benefitting,anfaani,n jẹ anfani,n jẹ anfani
betrothed,iyawo,afesọna,afesọna
tolerant,ifarada,,ifarada
reject,kọ,kọ̀,kọ̀
flakieness,flakieness,àìlèfọkàntán,àìlèfọkàntán
elaboration,ṣiṣe alaye,,ṣiṣe alaye
artistic,iṣẹ ọna,oníṣe àwòrán,oníṣe àwòrán
boon,ire,ẹ̀bun,ẹ̀bun
gazette,iwe iroyin,,iwe iroyin
levy,owo -ori,owó,owó
skid,skid,pákó-ìyọ̀,pákó-ìyọ̀
impractical,impractical,kò ṣeéṣe,kò ṣeéṣe
unknown,aimọ,àìmọ̀,àìmọ̀
criticized,ti ṣofintoto,ti ṣọ̀fíǹtótó,ti ṣọ̀fíǹtótó
proper,yẹ,,yẹ
tragically,laanu,lóró,lóró
unfeeling,alailagbara,àìláànú,àìláànú
stroke,ikọlu,rọpárọsẹ̀,rọpárọsẹ̀
irritated,hihun,ìríra,ìríra
infuriate,binu,bínú,bínú
attract,fa,,fa
preeminent,pataki,,pataki
segregated,ti ya sọtọ,yàsọ́tọ̀,yàsọ́tọ̀
disoriented,disoriented,àìmọ ohun tó kàn,àìmọ ohun tó kàn
unfair,aiṣedeede,àìda,àìda
dissed,dissed,àìbọ̀wọ̀,àìbọ̀wọ̀
singleminded,nikan,ní ọkàn kan,ní ọkàn kan
collisions,awọn ikọlu,àwọn ìkọlù,àwọn ìkọlù
deprive,dina,dínà,dínà
helpless,ainiagbara,àìlágbára,àìlágbára
nauseating,ríru,ríru,ríru
energetic,funnilokun,,funnilokun
slime,slime,rọ̀,rọ̀
fray,ijakadi,ìjà,ìjà
achievement,aseyori,,aseyori
uncomplicated,aiṣododo,takoko,takoko
mastery,oga,,oga
controversy,àríyànjiyàn,àríyànjiyàn,àríyànjiyàn
beauteous,ẹlẹwa,,ẹlẹwa
diverse,orisirisi,oríṣiríṣi,oríṣiríṣi
geeky,geeky,jẹ́ olùfẹ́ràn ọpọlọ,jẹ́ olùfẹ́ràn ọpọlọ
self-humiliation,itiju ara ẹni,ìtìjú ara ẹni,ìtìjú ara ẹni
nauseate,ríru,ríru,ríru
sanctuary,ibi mimọ,,ibi mimọ
seal,edidi,,edidi
opportunity,anfani,,anfani
skeptical,alaigbagbọ,si yèméjì,si yèméjì
delays,idaduro,ìdádúró,ìdádúró
damned,eeyan,èèyàn,èèyàn
panicky,panicky,ìjayà,ìjayà
derailed,derailed,sáko,sáko
miraculous,iyanu,,iyanu
matchless,alailẹgbẹ,,alailẹgbẹ
fatiguing,bani o,rírẹ̀,rírẹ̀
imprisonment,ẹwọn,ẹ̀wọ̀n,ẹ̀wọ̀n
partnership,ajọṣepọ,,ajọṣepọ
distract,distract,dí lọ́wọ́,dí lọ́wọ́
entitled,ẹtọ,fi orukọ fun,fi orukọ fun
slowwww,slowwww,slowwww,slowwww
resolving,ipinnu,n pinnu,n pinnu
evolution,itankalẹ,idagba diẹdiẹ si,idagba diẹdiẹ si
amazes,iyalẹnu,yanilẹnu,yanilẹnu
incest,ìbálòpọ̀,ìbálópọ̀-ẹbí,ìbálópọ̀-ẹbí
defend,gbeja,,gbeja
nonresponsive,alaigbọran,àìlèfèsì,àìlèfèsì
baffled,daamu,dààmú,dààmú
deceptive,ẹlẹtan,ẹlẹ́tàn,ẹlẹ́tàn
wizard,oṣó,,oṣó
smouldering,gbígbóná,gbígbóná,gbígbóná
screwed-up,dabaru-soke,dabarú,dabarú
uproarous,ariwo,ariwo,ariwo
solidarity,iṣọkan,,iṣọkan
perish,ṣègbé,ṣègbé,ṣègbé
mud,ẹrẹ,ẹrẹ̀,ẹrẹ̀
legendary,arosọ,,arosọ
infiltration,ifibọ,àsáwọ̀,àsáwọ̀
drowns,rì,rì,rì
hide,tọju,tọ́jú,tọ́jú
hegemony,hegemony,ìjẹgàba,ìjẹgàba
self-deluded,ara-deluded,ìtàn ara ẹni,ìtàn ara ẹni
careful,ṣọra,,ṣọra
shamed,itiju,ìtìjú,ìtìjú
quiescent,quiescent,simi,simi
unwieldy,alailagbara,àìṣeégbé,àìṣeégbé
ailment,ailera,àìlera,àìlera
meandering,imukuro,ọ̀nà-yíyẹ̀,ọ̀nà-yíyẹ̀
composed,kq,pilẹṣẹ,pilẹṣẹ
unconcerned,aibikita,áìbìkítà,áìbìkítà
misbehavior,iwa aiṣedeede,ìwà àìtọ́,ìwà àìtọ́
enthusiastically,ni itara,,ni itara
overstates,apọju,àsọjù,àsọjù
collision,ijamba,ìjàmbá,ìjàmbá
revulsive,revulsive,ìrúkèrúdò,ìrúkèrúdò
misrepresent,ṣiṣalaye,ṣìṣàlàyé,ṣìṣàlàyé
mope,mope,àìbìkítà,àìbìkítà
libelous,alailagbara,ìbanilórúkọjẹ́,ìbanilórúkọjẹ́
disgust,ìríra,ìríra,ìríra
insanity,aṣiwere,aṣiwèrè,aṣiwèrè
ministry,iṣẹ -iranṣẹ,,iṣẹ -iranṣẹ
glower,glower,ìwòbìnújẹ́,ìwòbìnújẹ́
glowing,didan,,didan
primacy,alakoko,,alakoko
gypsy,Gypsy,alágbàṣe,alágbàṣe
ash,eeru,eérú,eérú
neglected,igbagbe,ìgbàgbé,ìgbàgbé
darling,olufẹ,,olufẹ
quandary,idaamu,ìdààmú,ìdààmú
patronizing,patronizing,ṣàtìlẹyìn,ṣàtìlẹyìn
sarcasm,ẹgàn,ẹ̀gàn,ẹ̀gàn
reaffirmation,imudaniloju,,imudaniloju
angers,ibinu,ìbínú,ìbínú
hurting,farapa,farapa,farapa
clamor,ariwo,ariwo,ariwo
dehumanizing,irẹwẹsi eniyan,ìrẹ̀wẹ̀sì ènìyàn,ìrẹ̀wẹ̀sì ènìyàn
encumbrance,ailagbara,ìdílọ́wọ́,ìdílọ́wọ́
monstrosities,monstrosities,ìbanilẹ́rù,ìbanilẹ́rù
illogic,illogic,àìní ìrògún,àìní ìrògún
destabilisation,iparun,ipò àìfìdímúlẹ̀,ipò àìfìdímúlẹ̀
misunderstands,gbọye,àìgbọ́yé,àìgbọ́yé
gibe,gibe,sún,sún
manhood,okunrin,,okunrin
breaks,fi opin si,fi òpin sí,fi òpin sí
defame,ailokiki,àìlókìkí,àìlókìkí
flirty,flirty,ṣìná,ṣìná
dementia,iyawere,ìyawèrè,ìyawèrè
vocabulary,fokabulari,,fokabulari
invigorating,imagbara,fun ni agbara,fun ni agbara
squeaks,ariwo,hu,hu
contour,elegbegbe,,elegbegbe
formative,agbekalẹ,,agbekalẹ
short-lived,igba kukuru,ìgbà kúkúrú,ìgbà kúkúrú
soothing,itutu,n tù,n tù
avid,gbadun,iwarapapa,iwarapapa
sacrifices,ẹbọ,ẹbọ,ẹbọ
led,mu,dari,dari
benefactor,oloore,,oloore
grievously,ibanuje,ìbànújẹ́,ìbànújẹ́
enablement,agbara,,agbara
great,nla,,nla
atheism,aigbagbọ,àìmọlọ́run,àìmọlọ́run
paralyzed,paralyzed,rọ-lápá-rọ-lẹ́sẹ̀,rọ-lápá-rọ-lẹ́sẹ̀
fuzzy,iruju,ìrújú,ìrújú
vitamin,Vitamin,,Vitamin
compassionate,aanu,niyọnu,niyọnu
incompetently,ailagbara,àìlágbára,àìlágbára
determined,pinnu,,pinnu
perfunctory,iṣẹ ṣiṣe,Kàńpá,Kàńpá
casket,agbọn,pósí,pósí
magnetite,magnetite,ofà,ofà
terrorist,apanilaya,agbésùnmọ̀mí,agbésùnmọ̀mí
fuck,fokii,fọ́kìì,fọ́kìì
buoyant,gbongbo,fifo,fifo
stumble,kọsẹ,kọsẹ̀,kọsẹ̀
flea,eegbọn,ìdun,ìdun
brand-new,ẹya tuntun,,ẹya tuntun
complicity,iṣọkan,ẹ̀ri-ọkàn,ẹ̀ri-ọkàn
laughed,rerin,,rerin
onerously,làákàyè,àjàgà,àjàgà
judicious,onidajọ,gbọn,gbọn
sweaty,lagun,làágùn,làágùn
accused,ẹsun,ẹ̀sùn,ẹ̀sùn
amazed,yà,yanilẹnu,yanilẹnu
hero,akoni,,akoni
enchanting,enchanting,n ṣe ifaiya,n ṣe ifaiya
mending,atunse,,atunse
desperation,àìnírètí,àìnírètí,àìnírètí
aboard,ninu ọkọ,,ninu ọkọ
tantalizing,tankalẹ,fanimọra,fanimọra
frail,alailera,aláìlera,aláìlera
nap,orun,,orun
heathen,keferi,Kèfèrí,Kèfèrí
unaffected,ti ko ni ipa,,ti ko ni ipa
respecting,bíbọwọ fún,,bíbọwọ fún
bizarre,burujai,burújáì,burújáì
blameless,alailẹgan,,alailẹgan
washed-out,wẹ-jade,ṣá,ṣá
word,ọrọ,,ọrọ
locust,eṣú,alátàmpoko,alátàmpoko
freedom,ominira,,ominira
interrogated,fọ̀rọ̀ wá a lẹ́nu wò,fọ̀rọ̀ wá a lẹ́nu wò,fọ̀rọ̀ wá a lẹ́nu wò
plea,ẹbẹ,ẹ̀bẹ̀,ẹ̀bẹ̀
little-known,kekere-mọ,Mímọ̀ kékeré,Mímọ̀ kékeré
passiveness,palolosi,aláìṣètara,aláìṣètara
masterfully,masterfully,pelu ọgbọn,pelu ọgbọn
frivolous,alaigbọran,àìníláárí,àìníláárí
ken,ken,oye,oye
superb,to dara julọ,,to dara julọ
itch,nyún,yún,yún
insincerity,aigbagbọ,àìṣòótọ́,àìṣòótọ́
haggard,haggard,ìdààmú,ìdààmú
friendly,ore,,ore
paramount,pataki julọ,,pataki julọ
benefit,anfani,,anfani
suffocating,imukuro,fún,fún
heavyhearted,akinkanju,ìpòrurù,ìpòrurù
kook,koko,aṣiwèrè,aṣiwèrè
dispute,àríyànjiyàn,àríyànjiyàn,àríyànjiyàn
prodigal,oninaku,onínàkúnà,onínàkúnà
accredited,gbayì,,gbayì
gains,awọn ere,,awọn ere
personages,awọn eniyan,awọn eniyan nla,awọn eniyan nla
ineffectualness,ailagbara,àìlágbára,àìlágbára
applauding,iyin,n yin,n yin
naively,alaigbọran,alàìmọ̀kan,alàìmọ̀kan
rapture,igbasoke,,igbasoke
giddy,giddy,òòyì,òòyì
compliance,ibamu,,ibamu
notables,awọn ogbontarigi,,awọn ogbontarigi
morality,iwa rere,,iwa rere
monumentally,monumentally,iranti,iranti
saturated,po lopolopo,ògéré,ògéré
investigate,se iwadi,,se iwadi
fall,ṣubu,ṣubú,ṣubú
flow,ṣàn,,ṣàn
latency,lairi,àìjáfáfá,àìjáfáfá
refinement,isọdọtun,,isọdọtun
flickers,flickers,ìgbà péréte,ìgbà péréte
frustrate,ibanuje,dà láàmú,dà láàmú
immense,laini,lainiwọn,lainiwọn
invasion,ayabo,ìyabò,ìyabò
secession,ipinya,ìpinyà,ìpinyà
sadly,ibanuje,ìbànújẹ́,ìbànújẹ́
clunky,alaigbọran,gira,gira
improbability,aiṣeeṣe,àìṣeéṣe,àìṣeéṣe
heedless,aibikita,àìbìkítà,àìbìkítà
ruin,ìparun,ìparun,ìparun
hardheaded,olórí kunkun,olórí kunkun,olórí kunkun
eventful,iṣẹlẹ,,iṣẹlẹ
subsidize,ṣe iranlọwọ,,ṣe iranlọwọ
chagrined,ibanuje,gba agbára,gba agbára
convinced,ni idaniloju,,ni idaniloju
prop,atilẹyin,,atilẹyin
nomination,yiyan,,yiyan
best-performing,ti o dara julọ,,ti o dara julọ
direful,adari,adarí,adarí
extermination,ìparun,ìparun,ìparun
dumps,idalenu,ìdàsọnù,ìdàsọnù
talents,talenti,,talenti
tantrum,ibinu,ìbínú,ìbínú
merit,anfani,,anfani
rip,ripi,ya,ya
unwisely,alaimoye,àìgbọ́,àìgbọ́
wearily,rirẹ,rírẹ̀,rírẹ̀
jail,ewon,túbú,túbú
weight,àdánù,iwuwo,iwuwo
upbeat,upbeat,yiyara,yiyara
risks,awọn ewu,àwọn ewu,àwọn ewu
splinter,fifọ,ẹ̀rún-igi,ẹ̀rún-igi
mocked,ṣẹ̀sín,ṣẹ̀sín,ṣẹ̀sín
ill-favored,ti ko ni ojurere,Ohun tí kò dára,Ohun tí kò dára
distracted,ni idamu,dí lọ́wọ́,dí lọ́wọ́
guide,itọsọna,,itọsọna
blast,fifún,ìbúgbámù,ìbúgbámù
smuggler,alagbata,oní-fàyàwọ́,oní-fàyàwọ́
short-sighted,oniranran kukuru,oníran kúkúrú,oníran kúkúrú
ownership,nini,,nini
captor,oluwa,amúni,amúni
gush,gush,tú-jáde,tú-jáde
vent,iho,ihò,ihò
delicacy,delicacy,adidun,adidun
marvellous,iyanu,,iyanu
striking,ohun ijqra,iyanu,iyanu
forgetful,gbagbe,gbàgbé,gbàgbé
goading,goading,ìgbìyànjú,ìgbìyànjú
mutter,kùn,ìkùn,ìkùn
mourn,ṣọfọ,ṣọ̀fọ̀,ṣọ̀fọ̀
oversells,oversells,àtàjù,àtàjù
booby,booby,òpònú,òpònú
palatial,palapala,bi afin,bi afin
advantages,awọn anfani,,awọn anfani
erase,nu,nù,nù
persecute,inunibini si,inúnibíni sí,inúnibíni sí
despairingly,nireti,àìnírètí,àìnírètí
brothel,panṣaga,ilé-aṣẹ́wó,ilé-aṣẹ́wó
inquisitive,awadi,,awadi
irrationals,irrationals,àìmọ́gbọ́nwá,àìmọ́gbọ́nwá
eccentricity,aiṣedeede,àìṣedéédé,àìṣedéédé
whiny,ariwo,ìkígbe,ìkígbe
piss,ibinu,ìbínú,ìbínú
negate,yọkuro,sọ dòdì,sọ dòdì
backwood,igi ẹhin,igi ẹ́hìn,igi ẹ́hìn
bout,ija,ìjàkadì,ìjàkadì
centurion,balogun ọrún,,balogun ọrún
distasteful,ainilara,ìkórìíra,ìkórìíra
sober,sober,áìmùtí para,áìmùtí para
friend,ore,,ore
plusses,pluss,ìfà,ìfà
counter-productive,counter-productive,àtakò,àtakò
adamant,alaigbọran,kìí gbọ́ kìí gbà,kìí gbọ́ kìí gbà
endeavor,igbiyanju,,igbiyanju
patch,alemo,àlẹ̀mọ́,àlẹ̀mọ́
swanky,ẹlẹgbin,didara,didara
squall,ipọnju,ìjì,ìjì
imprudent,alaigbọran,aláìgbọràn,aláìgbọràn
worm,kokoro,èkòló,èkòló
abyss,ọgbun,ọ̀gbun,ọ̀gbun
infallibly,alailese,lailese,lailese
smile,rẹrin musẹ,,rẹrin musẹ
tetchily,tetchily,ìbínú,ìbínú
embarrasses,dãmu,dójútì,dójútì
thorny,elegun,ẹlẹ́gùn-ún,ẹlẹ́gùn-ún
rifle,ibọn,ìbọn,ìbọn
untold,aimoye,àìsọ,àìsọ
palatable,adun,,adun
polemize,polemize,ìtakò,ìtakò
uncomfy,uncomfy,aláìrọrùn,aláìrọrùn
regrettable,banuje,àbámọ̀,àbámọ̀
defamatory,ibajẹ,ìbàjẹ́,ìbàjẹ́
wobbled,wobbled,gbọ̀n,gbọ̀n
halfheartedly,tọkàntọkàn,àìnífarajìn,àìnífarajìn
deprecate,yọ kuro,kọ̀,kọ̀
rescind,fagilee,fagilé,fagilé
incomparably,lafiwe,àìláfiwé,àìláfiwé
hurrah,hurray,,hurray
constant,ibakan,duroṣinṣin,duroṣinṣin
influence,ipa,agbára,agbára
exhortation,iyanju,,iyanju
halting,idaduro,ìdádúró,ìdádúró
sympathy,aanu,ikaanu,ikaanu
jocular,jocular,ipanilẹrin,ipanilẹrin
forego,fi silẹ,fisílẹ̀,fisílẹ̀
forsaken,kọ silẹ,kọ̀ sílẹ̀,kọ̀ sílẹ̀
contradict,tako,takò,takò
conspire,gbìmọ,gbìmọ̀,gbìmọ̀
confrontation,ijako,ìdojúkọ,ìdojúkọ
shortness,kukuru,kúkúrú,kúkúrú
specter,alafojusi,òkú-rírí,òkú-rírí
almighty,olodumare,,olodumare
replaceable,rọpo,,rọpo
