word,machine,human,label
imprecate,imprecate,gégùn-ún,negative
forsaken,kọ silẹ,kọ̀ sílẹ̀,negative
monotony,monotony,ohùn kan,negative
quote,agbasọ,agbasọ,positive
diplomatic,oselu,oselu,positive
unnerve,unnerve,dàláámù,negative
heroine,akọni obinrin,akọni obinrin,positive
breach,irufin,ìrúnfin,negative
depreciate,dinku,dínkù,negative
panders,panders,ìṣàkóso àwọn aṣẹ́wó,negative
irrationally,lainidi,àìmọ́gbọ́nwá,negative
insufferable,alailagbara,àìlèfaradà,negative
sadden,ibanuje,ìbànújẹ́,negative
profane,alaimọ,aláìmọ́,negative
spellbindingly,lọkọọkan,fi edi mu,positive
dishonor,àbùkù,àbùkù,negative
piss,ibinu,ìbínú,negative
incendiary,arannilọwọ,lè fa ìjà,negative
versatile,wapọ,wapọ,positive
viper,paramọlẹ,paramọ́lẹ̀,negative
chances,Iseese,Iseese,positive
abhorrent,irira,ìríra,negative
celebrates,ṣe ayẹyẹ,ṣe ayẹyẹ,positive
gnome,gnome,ẹ̀dá-kékeré,negative
stray,ṣáko lọ,sọnù,negative
comfortably,ni itunu,ni itunu,positive
barbarian,alaimoye,ènìyàn lásán,negative
congratulations,oriire,oriire,positive
ambivalent,ambivalent,àìdánilójú,negative
disruption,idalọwọduro,ìdálọ́wọ́dúró,negative
belittled,alaigbọran,aláìgbọràn,negative
acclamation,iyin,iyin,positive
corporal,corporal,ọlọ́pà-olókùn-kan,negative
infarct,infarct,ikú-hóró,negative
gratitude,ọpẹ,ọpẹ,positive
waste,egbin,ẹ̀gbin,negative
teasing,yẹ̀yẹ́,ìṣeyẹ̀yẹ́,negative
meltdown,yo,yọ́,negative
deference,iteriba,iteriba,positive
assurance,idaniloju,idaniloju,positive
naturalist,afenifere,ọjọgbọn ẹda,positive
readily,ni imurasilẹ,ni imurasilẹ,positive
youthful,ọdọ,ọdọ,positive
ingenuously,ọgbọn,ọgbọn,positive
self-interest,ire ara-eni,ire ara-eni,negative
yearning,ifẹkufẹ,ifẹ gbigbona,positive
funky,funky,lóòórùn,negative
abrasion,abrasion,inùkúrò,negative
impulsively,impulsively,pẹ̀lú agbára ìrọ́lù,negative
suicidal,igbẹmi ara ẹni,ìgbẹ̀mí ara ẹni,negative
unbound,aidi,aidi,positive
bothersome,bothersome,ní ìdààmú,negative
exclude,ifesi,ifesi,negative
lesbian,Ọkọnrin,ìbálópò-abo-sábo,negative
stupendously,omugo,pẹlu iyanu,positive
bump,ijalu,ìjálù,negative
pushy,titari,tí tari,negative
vileness,ẹgan,oníkà,negative
zaps,awọn zaps,gbígbá,negative
divinity,Ibawi,iwa orun,positive
extort,gba owó,gbá,negative
duke,duke,jíjà jáde,positive
shack,àpáta,ahéré,negative
extensive,sanlalu,o fagun,positive
flairs,flairs,òórùn,negative
extraneous,ajeji,àjèjì,negative
animated,ti ere idaraya,ti ere idaraya,positive
title,akọle,akọle,positive
accommodative,ibugbe,se gbe,positive
best-selling,tita to dara julọ,tita to dara julọ,positive
forbidden,eewọ,èèwọ̀,negative
illegal,arufin,arúrin,negative
pamperedness,pamperedness,itoju,positive
perseverance,ìfaradà,ìfaradà,positive
world-famous,olokiki agbaye,olokiki agbaye,positive
strikingly,idaṣẹ,pẹlu iyanu,positive
unintelligible,alaimoye,àìyé,negative
indifferent,alainaani,aláìnání,negative
glimmer,glimmer,mọlẹ baibai,positive
rabies,àrùn ibà,dìgbòlugi,negative
admired,ṣe itẹwọgba,fẹ,positive
tree,igi,igi,positive
uproariously,ariwo,aláriwo,negative
gem,tiodaralopolopo,tiodaralopolopo,positive
assassination,ipaniyan,ìpànìyàn,negative
tripping,ikọsẹ,kíkọsẹ̀,negative
unreasonably,lainidi,àìnírónù,negative
stimulate,lowo,lowo,positive
rigidity,gígan,ṣòro,negative
hung,ṣù,ṣù,negative
warmer,igbona,igbona,positive
bold,igboya,ni igboya,positive
shamelessly,itiju,ìtìjú,negative
naively,alaigbọran,alàìmọ̀kan,negative
diversion,iyipada,iyipada,positive
girder,giri,oti-igi ile,positive
pretense,itanra,ìtànjẹ,negative
obscenely,obscenely,àìtọ́,negative
subsidized,iranwo,ṣe iranlọwọ,positive
lying,irọ,ń parọ́,negative
infest,infest,kógun jà,negative
cough,Ikọaláìdúró,ikọ́,negative
chore,iṣẹ ṣiṣe,iṣẹ́ ṣíṣe,negative
toil,làálàá,Ṣe làálàá,negative
ineptitude,ailagbara,àìpé,negative
guilt,ẹṣẹ,ẹ̀bi,negative
overloaded,apọju,wúwo jù,negative
comedy,awada,awada,positive
discordant,iyapa,ìyapa,negative
wrath,ibinu,ìbínú,negative
cautious,ṣọra,ṣọra,positive
fud,irọrun,bẹ̀rù,negative
moaned,kérora,ìdárò,negative
unsound,alailera,àìlera,negative
abduction,ifasita,ìjínigbé,negative
organization,agbari,ikojo,positive
nervous,aifọkanbalẹ,àìfọ̀kànbalẹ̀,negative
expropriate,yẹ,gbésẹ̀ lé ẹ̀tọ́ ẹni,negative
trig,trig,mọ́,positive
excavation,excavation,wíwa-kòtò,negative
capricious,capricious,aláìnídánilójú,negative
overgrown,ti dagba,dàgbà,negative
tributary,agbo -ori,ijọsin,positive
scorchingly,gbigbona,gbígbóná,negative
skittish,skittish,ní ẹ̀rù,negative
prisoners,elewon,ẹlẹ́wọ̀n,negative
admits,jẹwọ,gbà,negative
tumor,tumo,iṣuu eemọ,negative
charming,pele,ni ifaiya,positive
god-send,ọlọrun-firanṣẹ,tọlọrun-ranwa,positive
monumental,monumental,ohun iranti,positive
immorality,ìṣekúṣe,ìṣekúṣe,negative
ambitiously,ambitiously,ọkanjuwa,positive
dictionary,iwe -itumọ,iwe -itumọ,positive
choke,pa,pa,negative
sophisticated,fafa,jọju,positive
virtuous,oniwa rere,oniwa rere,positive
crippled,arọ,arọ,negative
outmaneuvered,outmaneuvered,Wá ọ̀nà àbáyọ,negative
hit,lu,lù,negative
misapprehend,aiṣedeede,àṣìyé,negative
conversant,ibaraẹnisọrọ,ibaraẹnisọrọ,positive
physics,fisiksi,fisiksi,positive
tempered,binu,tọwọbọ laiye,positive
trifle,lasan,àìnílárí,negative
thinker,onironu,onironu,positive
fooled,aṣiwere,ìṣiwèrè,negative
bridegroom,oko iyawo,oko iyawo,positive
bitterness,kikoro,kíkorò,negative
downsides,downsides,àìláàǹfàní,negative
offend,ṣẹ,ṣẹ́,negative
endeavor,igbiyanju,igbiyanju,positive
conspirator,apanirun,agbèrò,negative
errors,awọn aṣiṣe,àwọn àṣìṣe,negative
unfinished,ti ko pari,àìparí,negative
moral,iwa,iwa,positive
idolize,oriṣa,bọ oriṣa,positive
upheaval,ariwo,rògbòdìyàn,negative
surveying,iwadi,iwadi,positive
bravado,bravado,ìgbéraga,negative
inconsequentially,laiṣe,kò ṣe pàtàkì,negative
banished,ti yọ kuro,lélọ,negative
dull,ṣigọgọ,ṣígọ̀gọ̀,negative
rifle,ibọn,ìbọn,negative
reassures,awọn idaniloju,awọn idaniloju,positive
combust,ijona,jóná,negative
patience,s patienceru,suuru,positive
effortless,akitiyan,lai se akitiyan,positive
uproot,gbongbo,fàtu,negative
sinfully,elese,ẹlẹ́ṣẹ̀,negative
cleanse,wẹ,wẹ,positive
temptation,idanwo,ìdánwò,negative
erroneously,ni aṣiṣe,ní àṣìṣe,negative
rusty,ipata,dógùn-ún,negative
disrespectable,alaibọwọ,aláìbọ̀wọ̀,negative
obedience,igboran,igboran,positive
wrongful,ti ko tọ,láìtọ́,negative
glitter,didan,didan,positive
puppets,awọn ọmọlangidi,àwọn ọmọláńgidi,negative
collides,collides,Kọlù,negative
trusting,gbekele,gbekele,positive
cut,ge,gé,negative
beggarly,alagbe,alágbè,negative
rabble,ariwo,èrò,negative
maniacal,maniacal,ìṣiwèrè,negative
well-positioned,ipo to dara,ipo to dara,positive
entanglement,idimu,ìlọ̀jú pọ̀,negative
stout,alagbara,alagbara,positive
war,ogun,ogun,negative
lynch,lynch,Jeníyà,negative
levity,levity,ifuyẹ,positive
subsidence,ibugbe,̀dádúró,negative
enfeeble,alailagbara,aláìlágbára,negative
bankrupt,alagbese,alagbese,negative
naïve,rara,aláìmọ̀kan,negative
sugar,suga,suga,positive
garnet,garnet,òkúta pupa mimọ,positive
elimination,imukuro,ìmúkúrò,negative
immoderately,aibikita,lòdì sí ìwọ̀ntúnwọ̀nsì,negative
laugh,rerin,rerin,positive
discourteously,discurteously,aláìbọ̀wọ̀,negative
peacefully,ni alaafia,ni alaafia,positive
deflation,imukuro,jíjò,negative
advantages,awọn anfani,awọn anfani,positive
stuttering,ìkọra,kílòlò,negative
classics,awọn alailẹgbẹ,awọn alailẹgbẹ,positive
unjust,alaiṣododo,áìṣòdodo,negative
indelicate,indelicate,aláìlẹ́tọ̀ọ́,negative
unpretentious,unpretentious,laidawọle,positive
displease,ko dun,kò tẹ́nilọ́rún,negative
rapid,yiyara,yara,positive
crisp,agaran,agaran,positive
squander,ṣagbe,ìnákúnà-án,negative
eminent,olokiki,olokiki,positive
fucked,buruku,burúkú,negative
amiabily,amiabily,niwa  ọrẹ,positive
unavailable,ko si,aláìsí,negative
long-lasting,gun lasting,pe titi,positive
unprove,unprove,àìnídànilójú,negative
solves,yanju,yanju,positive
penal,ifiyaje,ìjẹníyà,negative
scrapie,scrapie,àrùn-àgùtàn,negative
completing,ipari,ipari,positive
outperform,aṣeju,se rekọja,positive
duress,iponju,ìpọ́njú,negative
backaching,afẹyinti,ìrora ẹ̀hìn,negative
gibe,gibe,sún,negative
stereotype,stereotype,àìní òye ìmúdàgbà,negative
instigator,onitara,olùwà,negative
sticky,alalepo,alálẹ̀pọ̀,negative
innovation,àtinúdá,àtinúdá,positive
parrot,parrot,odídẹrẹ́,negative
confess,jẹwọ,jẹ́wọ́,negative
realizable,realizable,ṣeṣe,positive
complemented,gbelese,ibuyin,positive
downturns,downturns,ìrẹ̀wẹ̀sì,negative
ineffable,ineffable,aileyipada,positive
bedrock,ibusun,ipinlẹ,positive
renewal,isọdọtun,isọdọtun,positive
perversity,arekereke,ìhùwàbàjẹ́,negative
incapacity,ailagbara,àìlágbára,negative
sane,olóye,olóye,positive
victorious,asegun,asegun,positive
desirable,wuni,wuni,positive
enhancement,imudara,imudara,positive
harbors,ebute oko oju omi,ààbò,negative
revile,ẹgan,ẹ̀gàn,negative
questioned,ibeere,ìbéèrè,negative
destitution,ipadanu,ṣàìní,negative
exaltedly,ga,ga,positive
drunkard,ọmuti,ọ̀mùtí,negative
profoundly,jinle,jinle,positive
cursed,eegun,èègún,negative
stall,da duro,ibùjẹ̀ ẹran,negative
warp,ogun,hun,negative
unkind,alaanu,àìláànú,negative
helped,iranwo,ranlọwọ,positive
slaughter,pipa,pípa,negative
infringe,irufin,ìrúfin,negative
smelly,olfato,ó ń rùn,negative
acclaimed,iyin,iyin,positive
break-ups,fifọ-soke,yà,negative
uncomplicated,aiṣododo,takoko,positive
wearily,rirẹ,rírẹ̀,negative
trappings,ẹgẹ,ọ̀ṣọ́,negative
slanderous,abanijẹ́,abanijẹ́,negative
flimsy,alaigbọran,aláìmúlẹ̀,negative
imperfections,àìpé,àìpé,negative
eyesore,oju oju,òbùrẹwà,negative
marginal,iwonba,ìwọ̀nba,negative
unfettered,aiṣedeede,tu li ẹwọn,positive
disrespectfulness,aibọwọ,àìbọ̀wọ̀,negative
excitable,yiyatọ,le ru-soke,positive
ranters,awọn olutọju,àwọn olùtojọ́,negative
afflicted,iponju,ìpọ́njú,negative
heathen,keferi,Kèfèrí,negative
sublime,giga,giga,positive
neuralgia,neuralgia,ìrora-ìmọ̀lára,negative
ferocious,oniwa,kan,negative
extoll,gbega,gbega,positive
energy-efficient,agbara-daradara,ko je agbara,positive
rigorous,lile,ìrorò,negative
illogic,illogic,àìní ìrògún,negative
dilapidated,dipidated,ti parun,negative
destiny,ayanmọ,ayanmọ,positive
embattled,ti dina,ìgbáradì ogun,negative
contemptuous,ẹgan,ẹ̀gàn,negative
miserableness,ibanujẹ,ìbànújẹ́,negative
ultimatum,ultimatum,ìparí ìpinu,negative
hacks,awọn gige,gé,negative
fruitful,eso,seso,positive
unorthodoxy,aiṣododo,aláìgbàgbọ́,negative
relapse,ifasẹyin,burú si,negative
hesitation,ṣiyemeji,ṣiyèméjì,negative
promoter,olupolowo,olupolowo,positive
honoring,ọlá,n fọla fun,positive
quagmire,riri,irà,negative
fool,aṣiwere,aṣiwèrè,negative
accept,gba,gba,positive
distraughtness,ipọnju,ìpọ́njú,negative
promotion,igbega,igbega,positive
unbelief,aigbagbo,àìgbàgbọ́,negative
convince,parowa,yi lọkan pada,positive
strongest,alagbara julọ,alagbara julọ,positive
spectacularly,iyanu,iyanu,positive
remedy,atunse,atunse,positive
cautionary,ṣọra,ìkìlọ̀,negative
untidy,alaimọ,àìmọ́,negative
concede,gba,gbà,negative
ill-natured,aláìláàánú,onínúfùfù,negative
promiscuous,panṣaga,onírìnkurìn,negative
crumple,erupẹ,wó,negative
garnish,ọṣọ,ṣe-lọ́ṣọ̀,negative
warnings,ikilo,ìkìlọ̀,negative
solution,ojutu,ojutu,positive
libel,isọkusọ,ẹ̀gàn,negative
jaded,jaded,rẹ̀,negative
flustered,flustered,ìpayà,negative
eased,rọrùn,rọrùn,positive
exalt,gbega,gbega,positive
resent,binu,kórìíra,negative
wart,wart,ẹ̀so,negative
insult,itiju,ìtìjú,negative
freaks,awọn ẹru,àwọn nǹkan àjèjì,negative
zealous,onítara,ìtara,negative
detracts,detracts,yọ kúrò,negative
outbreak,ìbújáde,ìbújáde,negative
aberration,aberration,ìwààjòjì,negative
lava,lava,òkùta-oníná,negative
compulsory,dandan,dandan,negative
elated,yọ,yọ,positive
idiocy,iwa omugo,ìwà òmùgọ̀,negative
jolly,jolly,ni inudidun,positive
scarred,aleebu,sẹ̀rùbà,negative
unpopular,ti ko gbale,aláìlókìkí,negative
improvement,ilọsiwaju,ilọsiwaju,positive
dauntingly,dauntingly,ìdààmú,negative
triumphal,isegun,isegun,positive
disagreeably,iyapa,ìyapa,negative
reproach,ẹgan,ẹ̀gàn,negative
decomposition,jijera,ìjẹrà,negative
sulking,gbigbẹ,gbígbẹ,negative
triumph,isegun,segun,positive
sponsor,onigbowo,onigbowo,positive
steal,jale,jalè,negative
admire,ẹwà,fẹ,positive
nihilism,nihilism,àṣà,negative
discredited,aiṣedeede,àìsedédé,negative
hypocricy,agabagebe,àgàbàgebè,negative
recorder,agbohunsilẹ,agbohunsilẹ,positive
twinkle,seju,seju,positive
purely,odasaka,odasaka,positive
degrades,awọn ibajẹ,àwọn ìbàjẹ́,negative
censored,ihamon,ìhámọ́,negative
frustratingly,ibanuje,ìpinlẹ́mìnín,negative
nappy,nappy,ìlédì,negative
effort,akitiyan,akitiyan,positive
luxuriant,adun,idagba pupọ,positive
discontent,ainitẹlọrun,àìnìtẹ̀ẹ́lọ́rùn,negative
injustices,aiṣododo,àìṣòdodo,negative
stranded,ti idaamu,dààmú,negative
intruder,olufokansin,alàkàkà-wẹgbẹ́,negative
nastily,nastily,ẹlẹ́gbin,negative
handy,ni ọwọ,ni ọwọ,positive
imminently,laipẹ,láìpẹ́,negative
lamb,ọdọ Aguntan,ọdọ Aguntan,positive
detest,irira,kórìíra,negative
disapproved,ti a ko fọwọsi,àìfọwọ́sí,negative
antithetical,antithetical,Ìlòdìsí,negative
restored,pada,pada,positive
demonize,ẹmi èṣu,sọ dàǹjọ̀ọ̀nú,negative
stagnation,ipofo,àìtẹ́síwájù,negative
pretty,lẹwa,lẹwa,positive
talent,talenti,talenti,positive
desiccate,gbẹ,gbẹ,negative
pedigree,iran,iran,positive
lamentable,lamentable,ọ̀fọ̀,negative
hell,apaadi,àpáàdì,negative
drop,ju silẹ,jù sílẹ,negative
epidemic,àjàkálẹ àrùn,àjàkálẹ̀ àrùn,negative
tragedy,ajalu,àjálù,negative
radicals,awọn ipilẹṣẹ,ìpilẹ̀ṣẹ̀,negative
sepsis,sepsis,ówo,negative
foolproof,aṣiwère,ainiyọnu,positive
bribery,abẹtẹlẹ,àbẹ̀tẹ́lẹ̀,negative
bullying,ipanilaya,ìpaniláyà,negative
loathes,korira,kò ríra,negative
bulkiness,bulkiness,tí tóbi,negative
unconstitutional,aiṣedeede,aláìbófinmu,negative
titillate,titillate,ru,positive
traitor,ẹlẹtan,ẹlẹ́tàn,negative
acknowledgment,ijẹwọ,ijẹwọ,positive
amply,pupọ,ọpọ,positive
unravel,unravel,tú,negative
willful,imomose,fínúfẹ́dọ̀,negative
arduous,alara lile,alára líle,negative
apocalyptic,apocalyptic,ìfihàn,negative
dripped,ṣan,jò,negative
killjoy,igbadun,aláìláyọ̀,negative
shattered,fọ,túká,negative
spotty,abawọn,àbàwọ́n,negative
blackness,dudu,ìdúdú,negative
unfavorable,aigbagbe,àìlójúrere,negative
clever,onilàkaye,gbọn,positive
glacial,glacial,yìyín,negative
cigarette,sìgá,tábà,negative
welcome,kaabo,kaabo,positive
scolding,ibawi,ìbáwí,negative
allowable,Allowable,jẹ gbigba,positive
aunt,anti,anti,positive
inequalities,awọn aidọgba,àwọn àìdọ́gba,negative
acquire,gba,gba,positive
shoddy,shoddy,ayédèrú,negative
senile,arugbo,arúgbó,negative
boastful,iṣogo,ìṣògo,negative
hoary,hoary,arúgbó,negative
vomits,eebi,bì,negative
uncollectible,ko gba,aláìṣégbà,negative
abject,itiju,òṣì,negative
unassuming,alaigbọran,ko gberaga,positive
magical,idan,idan,positive
pure,funfun,funfun,positive
subject,koko,kókó-ọ̀rọ̀,negative
cosy,farabale,farabale,positive
tentative,atokun,àìfẹnukò,negative
insolvency,aiṣedeede,àìlówó,negative
indiscreet,aibikita,àìbìkítà,negative
flabbergasted,flabbergasted,yà lẹ́nu,negative
streamlined,ṣiṣan,mu rọrun,positive
well-being,alafia,alafia,positive
ranted,ranted,ìbínú,negative
tougher,le,le,positive
sewage,omi idọti,omi-ìdọ̀tí,negative
craftly,arekereke,àrékérekè,negative
resigning,fi ipo silẹ,fi ipò silẹ,negative
joy,ayo,ayo,positive
challenge,ipenija,ìpéníjà,negative
stink,rùn,rùn,negative
deceit,ẹtan,ẹ̀tàn,negative
interdiction,interdiction,ìkọ̀fúni,negative
thoughtfully,ni iṣaro,ni iṣaro,positive
civil,ilu,ilu,positive
backbone,egungun,egungun ẹyin,positive
hooligan,hooligan,oníjàǹdúkú,negative
blandish,ẹlẹgàn,èniyàn lásán,negative
infertility,ailesabiyamo,àgàn,negative
aura,aura,afẹfẹ,positive
aye,aye,lailai,positive
restructure,atunto,atunto,positive
prove,fi mule,fi mule,positive
incestuous,ibalopọ,ìbálópọ̀-ẹbí,negative
bull----,akọmalu--,akọ màlúù,negative
patch,alemo,àlẹ̀mọ́,negative
derided,ṣẹ̀sín,ṣẹ̀sín,negative
destroyed,run,run,negative
tolerable,ifarada,ifarada,positive
chafe,chafe,ìbínú,negative
regretted,banuje,àbámọ̀,negative
misunderstand,gbọye,gbọ́yẹ́,negative
annoyed,nbaje,bínú,negative
ineffectual,alailere,àìlérè,negative
regulate,fiofinsi,to lẹsẹsẹ,positive
ambiguity,aiṣiyemeji,ní pọ́na,negative
incarceration,atimole,ìtìmọ́lé,negative
inquirer,onibeere,onibeere,positive
benign,rere,ṣojurere,positive
envious,ilara,ìlara,negative
martyrdom,ajẹ́rìíkú,ajẹ́rìíkú,negative
favorited,ayanfẹ,ayanfẹ,positive
woeful,ègbé,ìbìnújẹ́,negative
miscalculation,iṣiro ti ko tọ,àṣìrò,negative
sobering,sobering,airekọja,positive
quash,ipọnju,borí,negative
chatty,iwiregbe,ìwírègbé,negative
judicial,adajọ,adajọ,positive
effeminate,effeminate,aláwòmọ-obìnrin,negative
discriminate,iyasoto,ìyàsọ́tọ̀,negative
aptitude,agbara,yiyẹ,positive
apprehensive,ifura,ìfura,negative
mocks,ẹlẹgàn,ẹlẹ́gàn,negative
skepticism,iyemeji,iyèméjì,negative
revitalize,sọji,sọji,positive
derelict,alaigbọran,akúṣẹ̀,negative
expertise,expertiserìr.,imoye,positive
warmth,iferan,iferan,positive
lose,padanu,pàdánù,negative
prideful,igberaga,ìgbéraga,negative
dictatorial,dictatorial,apàṣẹ,negative
verified,wadi,wadi,positive
implode,implode,bú gbàmù sínú,negative
righteously,olododo,olododo,positive
appreciatively,mọrírì,mọrírì,positive
cruelty,ìkà,ìkà,negative
decadent,decadent,ẹlẹ́sẹ̀,negative
unmatched,alailẹgbẹ,alailẹgbẹ,positive
mortal,ẹni kíkú,eni-ikú,negative
grandeur,titobi,titobi,positive
slip,isokuso,yọ̀,negative
reactionary,ifaseyin,ìfèsìpadà,negative
buckle,mura silẹ,múra sílẹ̀,negative
ambivalence,ambivalence,ìbáṣepọ̀ tó dára,negative
beseech,bebe,bẹ̀,negative
bulkier,tobi,tóbi,negative
restlessness,isinmi,àìsinmi,negative
prolong,gun,fàgùn,negative
maliciously,irira,ìríra,negative
dearly,ololufe,ololufe,positive
ovation,igbega,igbega,positive
revel,ṣe ayẹyẹ,ṣe ayẹyẹ,positive
